,0
0,0.35763055
1,0.35215175
2,0.33439335
3,0.36296523
4,0.37376934
5,0.3889789
6,0.40381068
7,0.40503162
8,0.4018414
9,0.40904707
10,0.36228833
11,0.31979945
12,0.28411576
13,0.24432653
14,0.19135073
15,0.15361735
16,0.14981166
17,0.13396484
18,0.13105567
19,0.1385563
20,0.18361756
21,0.22583333
22,0.29106668
23,0.35963959
24,0.3751025
25,0.36453027
26,0.33309382
27,0.3585143
28,0.32636946
29,0.29139197
30,0.3125819
31,0.36193228
32,0.403495
33,0.3895665
34,0.33754066
35,0.30688784
36,0.2591681
37,0.2090359
38,0.15556574
39,0.11070358
40,0.10842848
41,0.10108403
42,0.096584275
43,0.103042
44,0.14280441
45,0.16044283
46,0.22459534
47,0.26422912
48,0.26418242
49,0.2501369
50,0.242917
51,0.25041166
52,0.21818733
53,0.20144403
54,0.22179422
55,0.27139592
56,0.31584692
57,0.3468709
58,0.28613186
59,0.2674046
60,0.21962509
61,0.16679806
62,0.11234658
63,0.087721646
64,0.08115785
65,0.07327028
66,0.08339117
67,0.10957312
68,0.17744163
69,0.24754167
70,0.3364568
71,0.40220535
72,0.4352779
73,0.41765004
74,0.38912907
75,0.38752425
76,0.38067102
77,0.37848002
78,0.3923493
79,0.40316308
80,0.39062425
81,0.39914322
82,0.35832167
83,0.31765106
84,0.28254715
85,0.248043
86,0.17895076
87,0.13299656
88,0.13481557
89,0.12869549
90,0.12343532
91,0.16098243
92,0.23903415
93,0.29331255
94,0.4113692
95,0.46369535
96,0.50046474
97,0.49601948
98,0.44908765
99,0.48021466
100,0.47433072
101,0.45817286
102,0.45834437
103,0.4408725
104,0.4548892
105,0.44898245
106,0.40538806
107,0.36284873
108,0.3270444
109,0.28919297
110,0.19648415
111,0.1510827
112,0.1534657
113,0.14241466
114,0.14324182
115,0.18158937
116,0.2659808
117,0.28660268
118,0.35303897
119,0.3646571
120,0.38565794
121,0.3713545
122,0.33569595
123,0.3484457
124,0.35679126
125,0.375437
126,0.38386562
127,0.37760732
128,0.36115402
129,0.38828367
130,0.3498789
131,0.31663638
132,0.27809826
133,0.24621612
134,0.16452703
135,0.12814176
136,0.121440075
137,0.1190418
138,0.11785584
139,0.14443201
140,0.218009
141,0.2875463
142,0.40629762
143,0.4562451
144,0.50158435
145,0.502593
146,0.4793687
147,0.4981271
148,0.49763986
149,0.47882763
150,0.46545255
151,0.46329743
152,0.4517451
153,0.44735944
154,0.37899154
155,0.33944684
156,0.30388057
157,0.24030608
158,0.17809936
159,0.13989896
160,0.13896647
161,0.13170846
162,0.13202482
163,0.16877934
164,0.21968359
165,0.2652283
166,0.32117197
167,0.35747075
168,0.3825565
169,0.38912442
170,0.34246793
171,0.35923937
172,0.37934947
173,0.37802088
174,0.3738321
175,0.3710885
176,0.36133367
177,0.37134597
178,0.32099113
179,0.29404786
180,0.26848218
181,0.22204742
182,0.16043934
183,0.11886403
184,0.12010365
185,0.11485802
186,0.111322574
187,0.12448337
188,0.15268344
189,0.16197282
190,0.20814592
191,0.23269612
192,0.24597746
193,0.24557135
194,0.24232945
195,0.23120242
196,0.25575075
197,0.25184122
198,0.25502715
199,0.26451135
200,0.27775747
201,0.3198241
202,0.27776465
203,0.24776256
204,0.18742743
205,0.17593947
206,0.12187814
207,0.09022515
208,0.09070338
209,0.09720131
210,0.09129278
211,0.098728515
212,0.10842479
213,0.114866324
214,0.14362514
215,0.16512239
216,0.19755873
217,0.1955879
218,0.18773067
219,0.20849937
220,0.19804353
221,0.19378337
222,0.20955154
223,0.23493245
224,0.27259952
225,0.3174429
226,0.25998893
227,0.23519358
228,0.18989548
229,0.14442688
230,0.09932689
231,0.06579127
232,0.067662254
233,0.07315112
234,0.0809455
235,0.11381561
236,0.1793839
237,0.250229
238,0.32742757
239,0.37731045
240,0.40553725
241,0.39109093
242,0.36073977
243,0.38408983
244,0.37999812
245,0.37678713
246,0.40027267
247,0.41741097
248,0.4196814
249,0.45826125
250,0.41752023
251,0.37747484
252,0.34297663
253,0.31758392
254,0.22284248
255,0.17062184
256,0.16367523
257,0.16425598
258,0.16653535
259,0.2087686
260,0.29697236
261,0.33136028
262,0.3822209
263,0.39657393
264,0.4162643
265,0.42307404
266,0.36279237
267,0.39388534
268,0.3918347
269,0.40398085
270,0.41324836
271,0.4189877
272,0.42034686
273,0.45151526
274,0.41408405
275,0.36509466
276,0.32532045
277,0.27680516
278,0.18587348
279,0.15704213
280,0.13977632
281,0.14600977
282,0.14615163
283,0.17326792
284,0.25495026
285,0.32126337
286,0.40554878
287,0.43223232
288,0.46538523
289,0.4514683
290,0.392447
291,0.4316159
292,0.42068186
293,0.38827634
294,0.40594703
295,0.41830665
296,0.4333678
297,0.41285884
298,0.37221366
299,0.3249994
300,0.30154136
