DAY,RESULT,TEMP,RAIN,WEATHER,HAZURE
2018/6/29,628200,4714.3,1.5,54,1
2018/7/6,607858,4451,36,108,1
2018/7/13,684895,5019.4,0,78,1
2018/7/20,699973,4996.4,2.5,48,1
2018/7/27,647656,4680.2,67,78,0
2018/8/3,652122,4623.9,49.5,42,0
2018/8/10,597287,4832.7,11,48,0
2018/8/17,581340,4428.8,0,78,0
2018/8/24,666972,4829.4,25,72,0
2018/8/31,597724,4367.7,41.5,66,0
2018/9/7,567670,4202.9,42.5,72,0
2018/9/14,520056,3744.1,123,78,1
2018/9/21,504104,3429,115.5,84,1
2018/9/28,503115,3548,61.5,84,0
2018/10/5,512453,3784.9,11,60,0
2018/10/12,489658,3019.4,9,96,0
2018/10/19,487245,2806.6,11.5,78,0
2018/10/26,485961,2830.4,12,60,0
2018/11/2,491576,2713.7,37,48,0
2018/11/9,493868,2562.9,10.5,42,0
2018/11/16,513199,2128.4,15,48,0
2018/11/23,522076,1999.2,0.5,84,0
2018/11/30,531460,2214.3,18,60,0
2018/12/7,601439,1290.8,22.5,36,1
2018/12/14,623026,1151.7,2.5,96,1
2018/12/21,588547,1395.5,1,120,0
2018/12/28,518685,849.4,0,90,0
2019/1/4,616851,824.6,0,72,1
2019/1/11,633553,992.7,0.5,78,1
2019/1/18,627988,1042.6,0,42,0
2019/1/25,646846,914.2,14.5,54,1
2019/2/1,607857,1285,16,72,0
2019/2/8,651987,711.3,2,48,1
2019/2/15,601964,1322.8,2,36,0
2019/2/22,567184,1505.2,23,84,0
2019/3/1,572220,1477.7,74,60,0
2019/3/8,539459,1789.5,38.5,36,0
2019/3/15,522032,1986.5,0,48,1
2019/3/22,519506,1956.5,0,24,0
2019/3/29,542114,1476.8,10.5,48,0
2019/4/5,521954,1978.8,42,84,0
2019/4/12,498009,2409.4,5,96,1
2019/4/19,479498,3051.7,7,48,1
2019/4/26,435441,2376.9,60.5,72,1
2019/5/3,433282,2994.3,0,48,1
2019/5/10,476542,3198.8,0.5,66,0
2019/5/17,482256,3390.4,82,60,0
2019/5/24,509441,3925.7,8.5,54,0
2019/5/31,503594,3783,0,102,0
2019/6/7,489842,3184.4,123.5,60,0
2019/6/14,506976,3779.1,56,78,0
2019/6/21,519161,3835.1,33,72,0
2019/6/28,533742,3871.4,26,84,0
2019/7/5,495038,3434.5,43.5,72,0
2019/7/12,513829,3741.7,97.5,72,0
2019/7/19,581204,4321.7,19,66,1
2019/7/26,660299,4871.4,19.5,96,1
2019/8/2,699476,5026.2,0,60,1
2019/8/9,610282,4934,29,24,0
2019/8/16,621511,4729.5,36.5,54,0
2019/8/23,588875,4424.9,32.5,96,0
2019/8/30,588467,4413.8,13.5,60,0
2019/9/6,639356,4723.7,135.5,24,0
2019/9/13,523824,3880.6,38.5,84,0
2019/9/20,523306,3974.4,21.5,96,0
2019/9/27,537618,4079.6,0,114,0
2019/10/4,511373,3685,34.5,84,0
2019/10/11,473554,3242.4,229,66,1
2019/10/18,477041,2983.8,133.5,54,0
2019/10/25,487104,2801.9,132.5,48,0
2019/11/1,476997,2579.9,11.5,90,0
2019/11/8,494576,2415.5,7,12,0
2019/11/15,504518,2258.6,3,72,0
2019/11/22,552395,1892.4,135,60,0
2019/11/29,576244,1470.3,36,66,0
2019/12/6,592608,1458.5,8.5,54,1
2019/12/13,589666,1480.5,1,48,0
2019/12/20,598135,1298.9,30,12,0
2019/12/27,500560,1181.1,1,42,0
2020/1/3,572058,1141.6,14.5,78,0
2020/1/10,592681,1262.5,15,96,0
2020/1/17,629405,1043.6,11,66,1
2020/1/24,610553,1336.7,94.5,66,0
2020/1/31,593215,1268.9,0,48,0
2020/2/7,612002,1043.4,0,54,0
2020/2/14,562307,1648.5,8.5,60,0
2020/2/21,549430,1643.9,5.5,54,0
2020/2/28,561014,1558.7,14,102,0
2020/3/6,535121,1879.2,32,60,0
2020/3/13,545981,1586.1,26,78,0
2020/3/20,496603,2082.9,0,60,1
2020/3/27,534338,1871.4,91,84,0
2020/4/3,488198,2180.8,0.5,84,1
2020/4/10,498199,1855.1,141,72,0
2020/4/17,474889,2142.5,106,84,1
2020/4/24,438483,2425.3,18,78,1
2020/5/1,389097,3221.9,21.5,60,1
2020/5/8,436400,3455,1.5,36,0
2020/5/15,447719,2979.7,84,54,0
2020/5/22,444764,3300.9,11,84,0
2020/5/29,464133,3677.6,4,72,0
2020/6/5,506018,4104,17,24,0
2020/6/12,514458,3994.5,48,60,0
2020/6/19,475721,3546.2,98,96,0
2020/6/26,521993,4149,67,126,0
2020/7/3,531604,4181.5,93,84,0
2020/7/10,517406,3920.4,22,78,0
2020/7/17,522613,3989.5,87,54,0
2020/7/24,527058,4176.2,46,48,0
2020/7/31,590007,4561.9,1.5,66,1
2020/8/7,621299,4990.7,22,36,1
2020/8/14,671362,5069.3,0,60,1
2020/8/21,647655,4753.7,38,72,1
2020/8/28,644707,4755.5,13,66,1
2020/9/4,638801,4715.3,53.5,54,0
2020/9/11,554253,4114.2,18,24,0
2020/9/18,500941,3838.8,21.5,42,0
2020/9/25,470256,3321.7,13.5,36,1
2020/10/2,477394,3373.4,49,54,0
2020/10/9,480784,3140.2,114,108,0
2020/10/16,483658,2526.9,32.5,78,0
2020/10/23,475537,2796.6,8.5,48,0
2020/10/30,479316,2416.2,7,66,0
2020/11/6,507384,2236.4,2.5,42,0
2020/11/13,495414,2550,0,60,0
2020/11/20,490169,2509.7,5,66,0
2020/11/27,550292,1683.9,8,84,0
2020/12/4,578167,1538.5,3.5,66,0
2020/12/11,604305,1325,0,66,1
2020/12/18,643473,1024.2,0,72,1
2020/12/25,546815,1215.5,1.5,96,0
2021/1/1,578067,871.1,0,48,0
2021/1/8,667721,649.4,0,24,1
2021/1/15,642967,965.3,0,24,1
2021/1/22,625861,1181.2,43.5,84,0
2021/1/29,627553,1055.8,12,12,0
2021/2/5,603491,1245,0,12,0
2021/2/12,579269,1550.5,76.5,48,0
2021/2/19,557410,1672.8,0,0,0
2021/2/26,576014,1502.8,10,72,0
2021/3/5,553328,1717.5,8,72,0
2021/3/12,520932,2151.2,65,48,1
2021/3/19,502465,2278.1,47.5,72,1
2021/3/26,476897,2744.7,42.5,72,1
2021/4/2,476708,2442.2,31,60,1
2021/4/9,490787,2181.2,36.5,48,0
2021/4/16,475493,2783.1,48.5,24,0
2021/4/23,458243,2619.7,29,60,1
2021/4/30,406305,2980.3,27.5,60,1
2021/5/7,455225,3161,13,60,0
2021/5/14,475737,3399.9,14,96,0
2021/5/21,478256,3454,48,72,0
2021/5/28,477111,3579.5,10,60,0
2021/6/4,502709,3873.8,25,60,0
2021/6/11,508569,3835.2,38.5,84,0
2021/6/18,502178,3759.9,28,84,0
2021/6/25,510418,3816.6,139,108,0
2021/7/2,524403,3834.4,150,144,0
2021/7/9,570637,4271.5,31.5,96,1
2021/7/16,632359,4750.4,0,12,1
2021/7/23,609955,4637.2,34.5,36,1
2021/7/30,650064,4753.6,33.5,12,1
2021/8/6,598988,4738.6,95,60,0
2021/8/13,504795,3935.7,264.5,120,0
2021/8/20,632362,4781.8,2.5,60,1
2021/8/27,617928,4438.5,38.5,60,0
2021/9/3,483435,3418.4,64,120,1
2021/9/10,521613,4019.4,7,48,0
2021/9/17,507748,3993.8,125.5,36,0
2021/9/24,493023,3688.9,1,60,0
2021/10/1,502002,3706.8,118.5,48,0
2021/10/8,497997,3607.4,13,72,0
2021/10/15,479267,2784,23,48,0
2021/10/22,491607,2382.9,46.5,72,0
2021/10/29,475411,2653.6,2,48,0
2021/11/5,485226,2634.2,50,48,0
2021/11/12,497424,2313.4,0,24,0
2021/11/19,511554,2108.9,37,60,0
2021/11/26,548531,1808,60.5,24,0
2021/12/3,570902,1648,46,60,1
2021/12/10,587024,1467.6,5.5,36,1
2021/12/17,615545,1181.4,6,24,1
2021/12/24,592476,891.2,4,24,0
