,0
1129,56241.0
1151,79382.0
1152,76158.0
1157,62272.0
1161,79952.0
1164,61326.0
1171,63720.0
1173,75731.0
1174,77630.0
1175,78407.0
1176,79386.0
1178,63983.0
1181,78429.0
1182,81150.0
1183,83128.0
1185,66442.0
1187,79757.0
1188,80535.0
1191,67514.0
1192,63405.0
1199,65296.0
1202,79488.0
1203,82858.0
1204,87259.0
1208,83594.0
1209,88164.0
1210,92035.0
1211,92567.0
1214,95870.0
1215,99676.0
1216,102492.0
1217,104681.0
1218,104832.0
1221,101268.0
1222,104708.0
1223,103939.0
1224,103759.0
1241,74946.0
1248,77114.0
1256,94170.0
1257,100181.0
1258,95989.0
1260,76231.0
1261,68329.0
1262,69365.0
1263,72840.0
1268,67835.0
1269,64405.0
1276,68787.0
1283,63769.0
1289,61846.0
1290,61586.0
1291,64337.0
1297,61610.0
1304,61480.0
1311,61724.0
1318,62735.0
1325,64315.0
1328,75563.0
1329,77289.0
1330,85052.0
1334,82815.0
1335,83819.0
1336,86431.0
1337,87490.0
1340,85326.0
1344,88114.0
1345,86403.0
1347,91390.0
1351,89090.0
1355,88947.0
1363,90902.0
1366,76246.0
1367,71523.0
1368,73433.0
1369,66657.0
1370,65874.0
1371,67003.0
1372,67812.0
1375,86622.0
1376,92868.0
1377,93206.0
1384,89613.0
1385,90943.0
1386,91101.0
1387,91726.0
1391,95650.0
1392,95211.0
1396,96589.0
1397,100472.0
1402,74777.0
1406,96793.0
1407,98628.0
1415,73580.0
1416,73799.0
1422,72747.0
1423,68171.0
1424,73157.0
1430,67371.0
1440,71298.0
1444,72533.0
1449,66697.0
1450,64708.0
1451,60690.0
1457,65334.0
1459,83383.0
1464,63443.0
1465,64390.0
1471,65066.0
1472,64088.0
1473,81206.0
1479,58631.0
1485,61370.0
1486,56660.0
1489,59673.0
1490,60934.0
1491,59439.0
1492,55362.0
1493,52843.0
1494,53336.0
1495,54250.0
1514,55794.0
1521,56565.0
1523,70445.0
1524,72322.0
1525,72578.0
1526,74592.0
1530,76978.0
1531,78253.0
1532,79754.0
1533,80957.0
1536,79314.0
1537,78265.0
1542,60349.0
1551,77018.0
1552,79003.0
1553,80847.0
1558,83653.0
1559,81110.0
1569,64809.0
1570,66371.0
1571,82533.0
1572,81210.0
1573,85091.0
1578,81637.0
1579,84364.0
1585,85552.0
1586,92096.0
1587,95595.0
1588,95022.0
1589,95210.0
1593,96287.0
1594,92852.0
1599,102687.0
1600,101865.0
1601,99024.0
1602,101777.0
1603,103416.0
1605,74958.0
1610,101360.0
1619,75755.0
1625,74975.0
1626,68696.0
1627,77537.0
1632,73058.0
1633,62825.0
1634,64574.0
1635,66748.0
1639,63759.0
1640,59893.0
1647,60780.0
1654,60297.0
1661,61347.0
1667,62929.0
1668,60095.0
1675,62052.0
1682,61604.0
1684,75237.0
1685,76830.0
1686,80280.0
1689,63830.0
1695,63359.0
1696,61912.0
1698,75509.0
1699,78692.0
1701,77541.0
1704,79364.0
1705,81401.0
1706,86457.0
1707,86201.0
1708,84328.0
1711,83114.0
1713,85422.0
1714,86237.0
1718,86536.0
1719,91814.0
1720,95077.0
1721,97806.0
1722,95474.0
1725,95703.0
1726,96024.0
1734,72885.0
