,elec_tra,elec_tes,elec
0,,,2555.0
1,,,2433.0
2,,,2393.0
3,,,2375.0
4,,,2390.0
5,,,2467.0
6,,,2631.0
7,,,2775.0
8,,,2965.0
9,,,3159.0
10,,,3211.0
11,,,3265.0
12,3201.012,,3160.0
13,3025.6526,,3288.0
14,3200.8186,,3361.0
15,3238.0083,,3362.0
16,3317.6604,,3406.0
17,3306.344,,3438.0
18,3383.2844,,3501.0
19,3383.7275,,3381.0
20,3215.6301,,3242.0
21,3122.9355,,3084.0
22,2921.9993,,2973.0
23,2813.4678,,2811.0
24,2557.341,,2613.0
25,2435.2224,,2492.0
26,2398.974,,2431.0
27,2370.5027,,2403.0
28,2335.7866,,2390.0
29,2356.3037,,2432.0
30,2466.7896,,2543.0
31,2633.062,,2734.0
32,2908.631,,3019.0
33,3224.007,,3225.0
34,3274.928,,3258.0
35,3162.8606,,3239.0
36,3123.0308,,3167.0
37,3067.8643,,3112.0
38,3170.8843,,3049.0
39,2966.3965,,3043.0
40,3044.9219,,3098.0
41,3141.6406,,3216.0
42,3280.8801,,3328.0
43,3298.8762,,3276.0
44,3161.627,,3173.0
45,3018.9705,,3007.0
46,2777.986,,2856.0
47,2623.6687,,2674.0
48,2401.2727,,2455.0
49,2266.766,,2325.0
50,2251.4973,,2280.0
51,2249.3743,,2265.0
52,2230.5803,,2253.0
53,2228.2214,,2276.0
54,2295.0225,,2330.0
55,2381.8394,,2493.0
56,2667.694,,2700.0
57,2877.305,,2832.0
58,2878.1658,,2835.0
59,2797.5486,,2833.0
60,2773.6196,,2820.0
61,2775.3801,,2738.0
62,2739.2139,,2694.0
63,2661.6953,,2684.0
64,2693.9578,,2755.0
65,2826.501,,2920.0
66,3028.852,,3132.0
67,3160.6326,,3114.0
68,2966.7244,,3020.0
69,2863.2966,,2860.0
70,2640.764,,2690.0
71,2489.7776,,2494.0
72,2256.2002,,2304.0
73,2143.86,,2206.0
74,2150.3289,,2179.0
75,2147.24,,2189.0
76,2232.8628,,2216.0
77,2262.9055,,2320.0
78,2495.11,,2528.0
79,2714.5354,,2835.0
80,3143.245,,3168.0
81,3384.8252,,3418.0
82,3407.8591,,3480.0
83,3418.929,,3422.0
84,3281.9094,,3200.0
85,3314.3804,,3323.0
86,3353.8455,,3322.0
87,3289.007,,3312.0
88,3315.482,,3349.0
89,3344.5103,,3346.0
90,3332.8984,,3436.0
91,3328.7322,,3337.0
92,3144.5496,,3213.0
93,3064.7273,,3067.0
94,2902.0269,,2982.0
95,2828.3723,,2797.0
96,2576.745,,2551.0
97,2314.4712,,2427.0
98,2295.4497,,2392.0
99,2357.0159,,2380.0
100,2319.0596,,2415.0
101,2399.5742,,2524.0
102,2656.1272,,2767.0
103,3013.4294,,3056.0
104,3297.496,,3400.0
105,3583.6228,,3678.0
106,3676.6785,,3747.0
107,3674.2678,,3727.0
108,3570.0776,,3532.0
109,3643.3396,,3670.0
110,3679.0925,,3640.0
111,3563.6572,,3589.0
