,elec_tra,elec_tes,elec,HAZURE
246,73160.18,,74197,0
247,71584.42,,68716,1
248,72801.47,,76076,0
249,78567.75,,79928,0
250,81395.36,,85672,1
251,85281.17,,84691,0
252,80452.42,,81940,0
253,76620.195,,77929,0
254,75203.58,,75842,0
255,78841.45,,87266,1
256,88941.94,,86333,0
257,85877.23,,87452,0
258,87472.92,,89345,1
259,84940.484,,92184,1
260,87937.03,,83602,0
261,80043.336,,75957,1
262,82157.4,,83277,0
263,86203.805,,84186,0
264,81542.055,,82357,0
265,83585.77,,81965,0
266,82360.06,,73428,1
267,73461.71,,75507,0
268,75070.75,,74369,1
269,79267.45,,86334,0
270,85462.72,,82737,0
271,82850.69,,81063,0
272,80517.29,,78190,0
273,73738.19,,71973,1
274,72035.69,,67855,1
275,69449.23,,62234.004,1
276,71198.98,,63592,1
277,65355.445,,65242.996,0
278,65459.426,,71644,0
279,73910.086,,81938,0
280,78487.945,,88836,1
281,85104.836,,85318,0
282,79620.05,,83725,0
283,82275.97,,81743,0
284,81969.34,,86621,0
285,84908.94,,88357,0
286,91342.65,,90131,1
287,88538.13,,90085,0
288,87617.37,,90338,0
289,84921.18,,88008,0
290,85132.016,,97278,1
291,94636.65,,94044,0
292,92444.125,,93059,0
293,91624.76,,93116,0
294,92462.92,,100374,1
295,94753.02,,86144,0
296,83078.96,,78853,1
297,84537.836,,94202,0
298,94808.805,,98512,1
299,92272.234,,97141,0
300,95794.46,,94748,0
301,94633.53,,90792,0
302,84204.375,,80079,1
303,74802.18,,74984,1
304,84352.87,,80987,0
305,83778.07,,88426,0
306,88879.484,,88985,0
307,88313.42,,92452,0
308,89314.34,,89458,0
309,80551.2,,80233,1
310,79188.38,,78212,1
311,83651.92,,85371,0
312,88626.79,,91063,0
313,90716.99,,90545,0
314,90722.336,,99064,1
315,97297.81,,94774,0
316,84419.836,,85296,0
317,83973.65,,80389,1
318,85598.16,,90150,0
319,90641.81,,91315,0
320,89215.31,,89563,0
321,92647.6,,87272,0
322,86171.6,,80947,1
323,74497.94,,78656,1
324,80222.2,,75104,1
325,79534.41,,82895,0
326,85276.32,,87893,0
327,87813.27,,89133,0
328,86046.68,,83349,0
329,78724.305,,85497,0
330,83119.664,,77774,1
331,76332.78,,71624,1
332,78334.94,,85473,0
333,90188.34,,86833,0
334,83808.4,,86583,0
335,84490.625,,88340,0
336,87920.09,,83520,0
337,75845.914,,76791,1
338,75293.74,,69847,1
339,78650.21,,82490,0
340,85488.06,,87653,0
341,85907.52,,87640,0
342,88051.2,,85194,0
343,81998.02,,83360,0
344,76658.47,,77220,0
345,73967.86,,72440,1
346,79568.56,,83567,0
347,87746.65,,86229,0
348,84268.086,,90074,1
349,86877.77,,84525,0
350,81509.8,,82605,0
351,77449.375,,74363,1
352,71701.09,,67726,1
353,76785.54,,69869,1
354,74534.65,,82730,0
355,85059.24,,80740,0
356,81476.336,,81469,0
357,80832.21,,81629,0
358,76730.266,,76045,0
359,70584.25,,76906,0
360,79654.98,,89772,1
361,95633.984,,84822,0
362,80837.51,,81411,0
363,81460.164,,77344,0
364,76767.56,,81840,0
365,76556.766,,79382,0
366,78227.77,,70068,1
367,76027.54,,77643,0
368,80204.84,,77227,0
369,73834.086,,74060,0
370,74311.71,,72748,0
371,74041.73,,72436,0
372,73950.055,,67690,1
373,63608,,64520,1
374,72180.82,,73518,0
375,75770.78,,83935,1
376,80750.086,,74490,0
377,72376.62,,74713,0
378,75676.63,,72869,0
379,68090.53,,65658,1
380,64549.914,,61353,1
381,70030.02,,69719,0
382,76486.36,,72154,0
383,70712.86,,71217,0
384,70664.055,,70973,0
385,71989.164,,71058,0
386,64240.727,,66202,0
387,65722.09,,61999,1
388,68601.22,,70135,0
389,72932.53,,71205,0
390,70058.055,,71409,0
391,70849.086,,71005,0
392,70193.375,,69419,0
393,65281.613,,62669,1
394,59305.74,,59242,1
395,66442.54,,65733,0
396,68104,,64196,0
397,63914.883,,58081.004,1
398,59751.832,,56785.996,1
399,59537.473,,57024,1
400,53304.9,,59206,0
401,58838.8,,58563,0
402,65475.383,,68647,0
403,69494.05,,69578,0
404,64356.848,,70920,0
405,68820.22,,72374,1
406,70831.26,,73074,0
407,71735.27,,66410,0
408,64692.875,,59751,1
409,64196.523,,69092,0
410,69141.03,,70155,0
411,67652.055,,69790,0
412,70246.19,,70607,0
413,71404.516,,71191,0
414,65999.22,,66583,0
415,61882.89,,64325,0
416,69164.88,,74187,1
417,75951.75,,74634,1
418,72610.58,,73440,0
419,73633.84,,73281,0
420,72763.89,,72159,0
421,67250.34,,65374,0
422,62938.457,,61311.996,1
423,65911.86,,71253,0
424,73898.37,,75927,1
425,75914.75,,76319,1
426,77079.07,,75845,0
427,75833.87,,74423,0
428,70178.59,,65542,1
429,62580.508,,60752.996,1
430,70784.71,,70202,0
431,73133.85,,71354,0
432,73317.51,,71510,0
433,74041.34,,73408,0
434,74450.35,,74439,0
435,68922.96,,69666,0
436,66477.516,,62862.996,1
437,70219.13,,70880,0
438,73080.06,,71904,0
439,71021.31,,71817,0
440,72209.945,,73518,0
441,73520.195,,75655,1
442,71749.72,,67118,0
443,61521.547,,62047,1
444,68919.516,,72914,0
445,74591.72,,76448,1
446,76092.43,,76393,0
447,77145.086,,76605,0
448,77203.08,,78943,1
449,73351.99,,72045,0
450,64976.363,,66929,1
451,73204.55,,76050,0
452,77978.68,,77746,0
453,79358.97,,77419,0
454,78010.875,,80138,1
455,81130.84,,78759,0
456,74654.44,,71733,0
457,68025.89,,71679,0
458,78738.45,,88138,1
459,87298.305,,87514,1
460,84573.46,,86643,1
461,85135.91,,85923,0
462,83085.29,,88413,1
463,81056.73,,83424,0
464,80824.18,,79309,0
465,86333.34,,91154,1
466,92488.54,,93044,1
467,87633.69,,95916,1
468,91952.01,,95196,1
469,91817.555,,94016,0
470,90074.43,,85955,0
471,83125.664,,83347,0
472,88607.94,,87988,0
473,88920.664,,90272,0
474,90213.91,,88977,0
475,87400.984,,93669,0
476,89724.9,,96503,1
477,90532.664,,87531,0
478,83226.44,,76399,1
479,80051.125,,91469,0
480,92557.48,,94699,0
481,89930.78,,84668,0
482,85174.39,,80696,0
483,82481.234,,87508,0
484,81790.68,,80027,1
485,72460.91,,72316,1
486,84104.07,,90183,0
487,93234.95,,88381,0
488,79890.1,,78368,0
489,77861.23,,79830,0
490,84855.7,,83611,0
491,76683.43,,82766,0
492,78969.484,,82533,0
493,90162.29,,95582,1
494,94711.75,,96422,1
495,86192.055,,100302,1
496,96217.4,,86036,0
497,82016.16,,72015,1
498,71994.8,,69380,1
499,72198.32,,69880,1
500,78143.43,,69401,1
501,73077.99,,67701,1
502,75248.72,,66904,0
503,66639.55,,73313,0
504,70162.51,,79177,0
505,79743.07,,77044,0
506,77582.33,,70451,0
507,74611.37,,84975,0
508,84510.484,,91390,1
509,87701.75,,96163,1
510,92619.25,,98326,1
511,96512.22,,99805,1
512,89474.75,,87409,0
513,79271.59,,74363,0
514,78711.09,,85922,0
515,87613.9,,94416,0
516,91547.664,,92805,0
517,89551.55,,78444,0
518,78722.516,,75236,0
519,72787.99,,66086,1
520,63144.004,,64437.004,1
521,72202.055,,72330,0
522,80375.89,,77150,0
523,79700.516,,76720,0
524,73084.67,,78179,0
525,75057.35,,79581,0
526,72841.23,,72233,0
527,70316.234,,70262,0
528,76764.1,,81327,0
529,82958.945,,82975,0
530,79625.37,,84256,0
531,82698.92,,83636,0
532,81854.09,,77689,0
533,70284.34,,68017,1
534,66382.65,,63860.004,1
535,70182.18,,75695,0
536,78418.65,,79140,0
537,80090.305,,76999,0
538,77539,,77834,0
539,74295.57,,76116,0
540,68587.17,,66161,1
541,65622.44,,64007.996,1
542,73664.86,,76010,0
543,80208.49,,78193,0
544,76174.51,,77258,0
545,78533.45,,74613,0
546,73276.3,,71509,0
547,64065.08,,65344,1
548,66193.12,,61888,1
549,70778.016,,72576,0
550,76703.36,,76545,0
551,75656.78,,71598,0
552,71063.94,,70551,0
553,69634.31,,71230,0
554,65655.15,,66220,0
555,64225.16,,62216.004,1
556,70660.445,,65895,0
557,69974.375,,76465,0
558,74637.375,,75795,0
559,72788.45,,78329,1
560,78102.945,,73358,0
561,68826.875,,67473,0
562,63844.082,,64094,1
563,68318.63,,74487,0
564,77433.31,,75463,0
565,74429.336,,73145,0
566,73979.92,,78811,1
567,79400.05,,76240,0
568,68779.69,,69780,0
569,68927.484,,66367,1
570,72694.99,,71535,0
571,72679.51,,73234,0
572,71574.88,,75759,0
573,78699.86,,72831,0
574,72704.88,,72414,0
575,68213.14,,68833,0
576,66992.9,,66723,1
577,70008.76,,71540,0
578,73580.44,,74441,0
579,75640.414,,73700,0
580,72296.72,,72742,0
581,71519.38,,66956,1
582,65016.895,,65395,1
583,63783.117,,63519,1
584,68454.266,,72503,0
585,74650.15,,73370,0
586,73790.375,,74941,0
587,73716.17,,74492,0
588,70263,,75481,0
589,72438.61,,68791,0
590,66907.76,,65531.004,1
591,72124.94,,75513,0
592,77177.45,,78334,1
593,77353.586,,77015,0
594,74601.96,,77881,0
595,77228.3,,79438,1
596,73657.67,,76221,0
597,70758.69,,71194,0
598,75991.125,,86561,1
599,86716.266,,85942,1
600,84374.234,,88002,1
601,86092.484,,81050,0
602,80068.086,,82434,0
603,82146.48,,76933,0
604,74732.42,,70829,1
605,77490.88,,79574,0
606,83516.445,,81025,0
607,81287.04,,78900,0
608,79734.414,,82504,0
609,81653.56,,84238,0
610,81886.75,,78232,0
611,72701.39,,73556,1
612,81460.27,,85194,1
613,85289.61,,84315,0
614,81234.74,,87013,1
615,88172.2,,88428,1
