,elec_tra,elec_tes,elec,HAZURE
246,624694.6,,643473,1
247,640870.8,,546815,0
248,578488.94,,578067,0
249,,,667721,1
250,,,642967,1
251,,,625861,0
252,,,627553,0
253,,,603491,0
254,,,579269,0
255,,,557410,0
256,,,576014,0
257,,,553328,0
258,,,520931.97,1
259,,,502465,1
260,,,476897,1
261,,,476708,1
262,,491965.03,490787,0
263,,485345.88,475493,0
264,,479812.25,458243,1
265,,498337.72,406305,1
266,,475383.88,455225,0
267,,467835.62,475737,0
268,,469809.06,478256,0
269,,505737.78,477110.97,0
270,,520295.94,502709,0
271,,521486.97,508569,0
272,,529387.44,502178,0
273,,545180.25,510418,0
274,,537686.5,524403,0
275,,542254.7,570637,1
276,,590528.75,632359,1
277,,643520.2,609955,1
278,,615591,650064,1
279,,640225.3,598988,0
280,,606492.2,504795,0
281,,552100.44,632362,1
282,,630647.75,617928,0
283,,620345.1,483435,1
284,,530830.75,521613,0
285,,542304.44,507748,0
286,,501921.44,493023,0
287,,502513.94,502002,0
288,,490798.53,497997,0
289,,510162.28,479267.03,0
290,,504455.66,491607,0
291,,484614.44,475411,0
292,,499956.72,485226,0
293,,497449.38,497424,0
294,,501686.66,511554,0
295,,542817.2,548531,0
296,,556519.94,570902,1
297,,584540.8,587024,1
298,,598228.3,615545,1
299,,607362.44,592476,0
300,,596065.5,584114,0
301,,594137.06,651919.06,1
302,,652747.94,669365,1
303,,669827.25,664250,1
304,,650822.4,645136,0
305,,641403.3,672165,1
306,,644203.06,651873,0
307,,620256.6,648480.94,0
308,,598463.6,570883,0
309,,585365.56,568791,0
310,,580032.25,494571,1
311,,497354.88,554822,0
312,,,495435,1
