,elec_tra,elec_tes,elec,HAZURE
0,,,2555,0
1,,,2433,0
2,,,2393,0
3,,,2375,0
4,,,2390,0
5,,,2467,0
6,,,2631,1
7,,,2775,1
8,,,2965,1
9,,,3159,1
10,,,3211,1
11,,,3265,1
12,3229.3271,,3160,0
13,3044.592,,3288,0
14,3271.8123,,3361,0
15,3344.0818,,3362,0
16,3338.0728,,3406,0
17,3327.927,,3438,0
18,3391.8384,,3501,0
19,3412.478,,3381,0
20,3230.5647,,3242,0
21,3107.9062,,3084,0
22,2960.369,,2973,0
23,2832.2214,,2811,1
24,2599.1694,,2613,1
25,2475.6436,,2492,1
26,2446.4758,,2431,1
27,2428.0886,,2403,1
28,2402.6226,,2390,1
29,2405.4053,,2432,0
30,2489.4407,,2543,0
31,2700.6316,,2734,0
32,2978.9075,,3019,0
33,3247.801,,3225,1
34,3289.9827,,3258,1
35,3217.4353,,3239,0
36,3188.1272,,3167,0
37,3053.9734,,3112,0
38,3166.2896,,3049,0
39,3029.441,,3043,0
40,3076.0078,,3098,0
41,3204.9277,,3216,0
42,3345.9102,,3328,0
43,3316.2783,,3276,0
44,3140.383,,3173,0
45,3038.3977,,3007,0
46,2813.276,,2856,0
47,2661.077,,2674,1
48,2490.5134,,2455,1
49,2326.565,,2325,1
50,2288.0632,,2280,1
51,2287.6816,,2265,1
52,2282.314,,2253,1
53,2272.4495,,2276,0
54,2316.9438,,2330,0
55,2449.4675,,2493,0
56,2739.3347,,2700,0
57,2892.0347,,2832,0
58,2896.5068,,2835,0
59,2813.4526,,2833,0
60,2824.3545,,2820,0
61,2788.096,,2738,0
62,2731.5703,,2694,0
63,2701.0051,,2684,0
64,2768.8877,,2755,0
65,2910.6868,,2920,0
66,3088.5735,,3132,1
67,3166.9346,,3114,1
68,2997.5732,,3020,0
69,2885.504,,2860,0
70,2700.9084,,2690,0
71,2538.4058,,2494,1
72,2321.1443,,2304,1
73,2186.8274,,2206,1
74,2195.9785,,2179,1
75,2212.2046,,2189,1
76,2220.1914,,2216,0
77,2248.2603,,2320,0
78,2522.0151,,2528,0
79,2769.008,,2835,0
80,3208.7954,,3168,1
81,3438.433,,3418,1
82,3486.7202,,3480,1
83,3506.869,,3422,1
84,3287.0544,,3200,0
85,3329.5168,,3323,0
86,3398.1782,,3322,0
87,3331.0168,,3312,0
88,3390.7776,,3349,0
89,3386.0225,,3346,0
90,3372.0708,,3436,0
91,3380.31,,3337,0
92,3163.547,,3213,0
93,3051.5125,,3067,0
94,2936.9756,,2982,0
95,2838.0264,,2797,0
96,2571.013,,2551,1
97,2360.974,,2427,1
98,2340.8105,,2392,1
99,2399.5027,,2380,1
100,2374.6714,,2415,0
101,2466.7095,,2524,0
102,2736.702,,2767,0
103,3063.3997,,3056,0
104,3349.1458,,3400,1
105,3668.2397,,3678,1
106,3741.684,,3747,1
107,3745.0195,,3727,1
108,3563.8508,,3532,0
109,3631.4854,,3670,0
110,3699.8394,,3640,0
