,elec_tra,elec_tes,elec,HAZURE
0,,,500766,0
1,,,491165.97,0
2,,,480517,0
3,,,485492.97,0
4,,,424093,1
5,,,479830,0
6,,,489355,0
7,,,505181,0
8,,,480316.97,0
9,,,485185.97,0
10,,,501470,0
11,,,529907,1
12,548701.7,,517978,0
13,574756.9,,569715,1
14,569035.8,,574615,1
15,591900.44,,556991,0
16,602111.3,,523368,0
17,574320.4,,597612,1
18,624939.75,,628451.94,1
19,628456.56,,545182,0
20,594338.8,,592628,0
21,586190.1,,562475,0
22,590329.2,,601626,0
23,587346.06,,551329,0
24,548762.94,,510544,0
25,549889.44,,543723,0
26,558728.1,,524427,0
27,531756.1,,480589,1
28,508349.53,,488466,1
29,499373.47,,481296,1
30,488232.03,,498552,0
31,512561.84,,516741.97,0
32,523508.47,,523220,0
33,542049.8,,543123,0
34,551374.94,,572097,1
35,565052,,549233,0
36,587934.2,,586107,1
37,577657.1,,583528,1
38,592327.2,,551628,0
39,574881.3,,484479,1
40,563221,,604731,1
41,646571.1,,645928,1
42,597231.9,,649974,1
43,611064.94,,596705,0
44,601730.5,,613946,0
45,601461,,618759,0
46,600507.56,,577977,0
47,569296.2,,582124,0
48,576465.56,,573135,0
49,561274.6,,577415,0
50,555058.06,,539502,0
51,544946.1,,567929,0
52,538483.44,,532968,0
53,535770.6,,511302,1
54,517073.7,,483943,1
55,475795.6,,483013,1
56,467295.25,,436126.03,1
57,456443.8,,456312,1
58,463235.6,,478879,0
59,500416.1,,497641,0
60,508359.9,,498188.97,0
61,515144.97,,487192,0
62,522893.56,,495087,0
63,517332.6,,507180,0
64,524206.16,,529270,0
65,544381.1,,570389,1
66,584293.44,,626456,1
67,615834.4,,624224,1
68,621858.1,,611965,1
69,619645.5,,576613,0
70,605872.1,,627252,1
71,605584.2,,488594,1
72,592222.1,,597526,0
73,607245.44,,613164,0
74,579391.44,,510138,0
75,554746.2,,554270,0
76,543901,,519234,0
77,529409.44,,512359.03,0
78,518300.9,,490011,0
79,522590.78,,496150.03,0
80,525858.25,,506831,0
81,517998.2,,505746,0
82,526918.3,,500393,0
83,542810.56,,491176,0
84,518070.16,,518546,0
85,533702,,568408,0
86,564529.56,,552199,0
87,566701.94,,580976,1
88,597988.7,,612415,1
89,624611.7,,631387,1
90,606203.06,,605621,0
91,597733.75,,513595.03,0
92,586659.94,,611117,0
93,615611.75,,641141.94,1
94,647592.06,,653572,1
95,652819.75,,690611,1
96,651052.5,,672151,1
97,615679,,621789,0
98,601893.8,,630428,0
99,588953.2,,608742,0
100,600924.75,,564984,0
101,581138.56,,544691,0
102,549711.5,,553814,0
103,536461.6,,500517,1
104,493906.28,,483303,1
105,491875.2,,492862,1
106,486578,,494780,0
107,504057.3,,487192,0
108,502195.06,,446876,1
109,454608.28,,458146,0
110,488098.12,,490754,0
111,496269.25,,493595,0
112,508169.2,,498391,0
113,523909.34,,510618,0
114,532833.94,,516650,0
