,elec_tra,elec_tes,elec
0,,,71626.0
1,,,69778.0
2,,,63798.0
3,,,70949.0
4,,,76572.0
5,,,71918.0
6,,,76125.0
7,,,71008.0
8,,,63956.0
9,,,60860.0
10,,,71974.0
11,,,75294.0
12,75044.05,,74426.0
13,75781.3,,73648.0
14,73931.49,,71072.0
15,65000.566,,65128.996
16,64386.74,,62243.004
17,71301.59,,69346.0
18,70809.73,,69886.0
19,69594.055,,70374.0
20,71299.26,,72467.0
21,72750.25,,71650.0
22,66119.66,,65648.0
23,62434.79,,61722.0
24,69574.88,,69337.0
25,70726.7,,72682.0
26,74028.88,,72122.0
27,74083.15,,72332.0
28,71998.86,,63947.996
29,59368.324,,61786.0
30,61987.99,,58282.004
31,63311.227,,63474.0
32,66471.34,,58982.996
33,57209.75,,58690.0
34,60120.78,,58930.0
35,60360.887,,65718.0
36,64073.332,,65133.0
37,63278.395,,60611.996
38,65706.734,,69554.0
39,69995.05,,72401.0
40,72599.98,,73217.0
41,76768.01,,73195.0
42,75300.71,,73783.0
43,70808.79,,66058.0
44,61756.367,,61356.0
45,67452.01,,70647.0
46,71889.77,,73343.0
47,72046.484,,72231.0
48,74802.586,,71937.0
49,71874.22,,70976.0
50,67482.695,,65751.0
51,63002.996,,62838.996
52,72303.5,,74517.0
53,77919.82,,78288.0
54,75131.4,,76192.0
55,75153.195,,76618.0
56,75597.164,,73033.0
57,69490.66,,64455.996
58,62433.383,,60987.004
59,68428.11,,69516.0
60,71909.44,,71196.0
61,71528.1,,70825.0
62,72260.54,,70304.0
63,71141.66,,70214.0
64,65288.977,,65344.0
65,63150.105,,59785.004
66,68241.41,,69678.0
67,72010.76,,72071.0
68,72526.72,,73539.0
69,74163.95,,74555.0
70,74022.77,,75644.0
71,69206.484,,68034.0
72,63757.254,,64572.0
73,74886.08,,72350.0
74,75927.78,,73759.0
75,73208.4,,72861.0
76,74873.69,,74250.0
77,73223.336,,77900.0
78,71793.266,,72069.0
79,69503.195,,66144.0
80,75603.516,,79664.0
81,81228.94,,78933.0
82,76335.95,,77168.0
83,76587.45,,78029.0
84,78645.17,,76065.0
85,74242.945,,71671.0
86,70479.99,,67188.0
87,75173.19,,77476.0
88,79483.28,,74806.0
89,76016.82,,74863.0
90,78248.65,,75909.0
91,75669.305,,80622.0
92,75797.0,,76417.0
93,74726.57,,78475.0
94,86923.375,,89812.0
95,87376.49,,78213.0
96,73009.43,,78125.0
97,81871.984,,88051.0
98,87135.51,,82639.0
99,76486.43,,69921.0
100,72768.1,,71667.0
101,80286.54,,87564.0
102,85273.99,,88043.0
103,84907.74,,85886.0
104,86254.71,,88895.0
105,86061.2,,79415.0
106,72727.72,,70477.0
107,76790.65,,70417.0
108,78291.6,,81184.0
109,82680.72,,89968.0
110,88632.28,,86684.0
111,85826.85,,78846.0
112,79349.21,,75158.0
113,72378.0,,66837.0
114,64713.66,,65281.0
115,74610.66,,76865.0
116,81867.38,,77843.0
117,80191.04,,77976.0
118,75788.83,,83408.0
119,83515.375,,86012.0
120,76974.38,,79628.0
121,78872.82,,75648.0
122,85052.266,,87434.0
123,88336.3,,87793.0
124,87736.71,,88785.0
125,89109.836,,92312.0
126,90177.586,,94404.0
127,90207.234,,88254.0
128,85454.945,,81528.0
129,89534.98,,90967.0
130,96084.93,,99197.0
131,100682.945,,94296.0
132,94694.984,,79806.0
133,83876.34,,80439.0
134,81909.32,,72934.0
135,68424.09,,67836.0
136,74253.75,,73116.0
137,82180.57,,78216.0
138,80962.14,,86580.0
139,83863.98,,86061.0
140,85620.125,,86933.0
141,82338.29,,77807.0
142,74792.414,,77758.0
143,85204.08,,84069.0
144,85732.24,,87429.0
145,91732.09,,87015.0
146,89501.125,,91617.0
147,90701.805,,92323.0
148,86126.93,,74596.0
149,71318.08,,65597.0
150,70877.29,,81713.0
151,85991.83,,81689.0
152,82904.91,,81745.0
153,86382.27,,84812.0
154,87990.695,,86185.0
155,78763.39,,79681.0
156,76006.71,,74388.0
157,86725.91,,90002.0
158,91074.875,,93688.0
159,92757.516,,89980.0
160,89432.54,,87702.0
161,88330.57,,88021.0
162,86496.17,,78366.0
163,75217.664,,68188.0
164,76241.82,,78796.0
165,84830.62,,78794.0
166,79545.6,,77790.0
167,80672.27,,81374.0
168,83052.55,,78457.0
169,73651.586,,74716.0
170,71169.055,,68633.0
171,75501.805,,69972.0
172,73220.195,,74615.0
173,75007.89,,73270.0
174,77004.56,,70881.0
175,71028.016,,75288.0
176,75400.45,,69927.0
177,65536.52,,66522.0
178,66379.32,,80030.0
179,84477.37,,84095.0
180,80593.945,,85638.0
181,86793.5,,82223.0
182,80424.195,,73950.0
183,69062.586,,67459.0
184,62245.586,,65988.0
185,74415.83,,76847.0
186,77457.695,,80875.0
187,82885.805,,77983.0
188,77792.2,,81325.0
189,78991.8,,73437.0
190,68283.21,,68137.0
191,68025.52,,64376.0
192,74770.09,,63490.0
193,66233.53,,69408.0
194,71487.805,,70439.0
195,73071.08,,71302.0
196,70467.74,,70422.0
197,68063.68,,65038.996
198,61271.49,,61006.0
199,62804.887,,71179.0
200,75228.51,,73620.0
201,72486.48,,73329.0
202,74252.49,,73871.0
203,74992.89,,70818.0
204,66244.73,,65635.0
205,62077.055,,60889.0
206,70727.62,,68712.0
207,71205.06,,72143.0
208,73464.11,,72058.0
209,73402.94,,71041.0
210,69784.78,,74009.0
211,69058.55,,66843.0
212,61552.6,,65008.004
213,72023.44,,71290.0
214,74714.42,,74153.0
215,73161.57,,77102.0
216,79147.3,,70147.0
217,71738.7,,72700.0
218,70032.484,,67616.0
219,65437.113,,62774.0
220,66435.64,,73988.0
221,76083.04,,77800.0
222,75245.04,,79242.0
223,78088.3,,82622.0
224,80103.836,,83972.0
225,76087.92,,70071.0
226,63381.758,,65059.996
227,75687.28,,75367.0
228,78729.82,,75170.0
229,77028.055,,77313.0
230,82874.05,,76267.0
231,76159.7,,77198.0
232,72329.99,,75416.0
233,73000.14,,66016.0
234,74647.6,,77526.0
235,79632.516,,75699.0
236,77492.83,,76488.0
237,78930.31,,94780.0
238,93859.15,,89697.0
239,81118.69,,79231.0
240,71591.34,,72161.0
241,83280.92,,80811.0
242,79823.31,,82841.0
243,83486.07,,84329.0
244,89591.86,,83027.0
245,83877.85,,79953.0
246,76967.375,,74197.0
247,72645.98,,68716.0
248,73437.03,,76076.0
249,81502.305,,79928.0
250,83004.2,,85672.0
251,84256.64,,84691.0
252,80624.1,,81940.0
253,77921.83,,77929.0
254,74679.9,,75842.0
255,80057.03,,87266.0
256,87294.336,,86333.0
257,85745.94,,87452.0
258,92429.086,,89345.0
259,86412.77,,92184.0
260,88386.49,,83602.0
261,80413.2,,75957.0
262,80150.27,,83277.0
263,86957.95,,84186.0
264,84437.2,,82357.0
265,85169.43,,81965.0
266,83340.164,,73428.0
267,70588.61,,75507.0
268,74412.34,,74369.0
269,83294.34,,86334.0
270,87276.68,,82737.0
271,83978.77,,81063.0
272,82054.65,,78190.0
273,74369.16,,71973.0
274,69848.54,,67855.0
275,70620.33,,62234.004
276,68881.46,,63592.0
277,64719.594,,65242.996
278,67344.19,,71644.0
279,76175.67,,81938.0
280,81010.72,,88836.0
281,84985.84,,85318.0
282,81879.86,,83725.0
283,84730.56,,81743.0
284,86247.5,,86621.0
285,85807.85,,88357.0
286,93120.266,,90131.0
287,92777.734,,90085.0
288,91156.734,,90338.0
289,87002.61,,88008.0
290,89102.87,,97278.0
291,96901.08,,94044.0
292,91723.984,,93059.0
293,90770.516,,93116.0
294,98387.25,,100374.0
295,95407.125,,86144.0
296,83565.484,,78853.0
297,84960.94,,94202.0
298,98228.31,,98512.0
299,92548.1,,97141.0
300,97263.71,,94748.0
301,94878.37,,90792.0
302,87206.96,,80079.0
303,73567.26,,74984.0
304,84959.984,,80987.0
305,84110.56,,88426.0
306,92587.69,,88985.0
307,88312.586,,92452.0
308,92137.164,,89458.0
309,83872.96,,80233.0
310,75595.67,,78212.0
311,86069.88,,85371.0
312,87077.12,,91063.0
313,93470.67,,90545.0
314,91665.37,,99064.0
315,96932.87,,94774.0
316,86040.24,,85296.0
317,85057.58,,80389.0
318,88320.43,,90150.0
319,87963.23,,91315.0
320,92064.164,,89563.0
321,92998.945,,87272.0
322,88867.43,,80947.0
323,74646.3,,78656.0
324,76172.64,,75104.0
325,82009.59,,82895.0
326,87064.38,,87893.0
327,89804.62,,89133.0
328,89917.27,,83349.0
329,82404.77,,85497.0
330,84870.37,,77774.0
