,elec_tra,elec_tes,elec,HAZURE
0,,,71626,0
1,,,69778,0
2,,,63798,1
3,,,70949,0
4,,,76572,1
5,,,71918,0
6,,,76125,0
7,,,71008,0
8,,,63956,1
9,,,60860,1
10,,,71974,0
11,,,75294,0
12,74357.5,,74426,0
13,73326.375,,73648,0
14,73223.28,,71072,0
15,64490.17,,65128.996,1
16,64748.98,,62243.004,1
17,71079.2,,69346,0
18,72634.25,,69886,0
19,70428.1,,70374,0
20,69363.63,,72467,0
21,71351.18,,71650,0
22,66038.4,,65648,0
23,63196.78,,61722,1
24,68838,,69337,0
25,71321.25,,72682,0
26,73803.75,,72122,0
27,72365.234,,72332,0
28,70676.234,,63947.996,1
29,58320.105,,61786,1
30,61656.312,,58282.004,1
31,64525.71,,63474,0
32,67299.6,,58982.996,1
33,60392.23,,58690,1
34,60652.016,,58930,0
35,60211.523,,65718,0
36,63414.086,,65133,0
37,62208.227,,60611.996,0
38,64071.863,,69554,0
39,70136.31,,72401,1
40,72086.836,,73217,1
41,74732.63,,73195,1
42,76140.45,,73783,0
43,70860.664,,66058,0
44,61113.31,,61356,1
45,66004.875,,70647,0
46,71972.62,,73343,0
47,71479.04,,72231,0
48,72914.945,,71937,0
49,70550.39,,70976,0
50,66141.2,,65751,0
51,64153.57,,62838.996,1
52,70033.69,,74517,1
53,78471.2,,78288,1
54,77196.77,,76192,0
55,73841.2,,76618,0
56,74844.586,,73033,0
57,68430.734,,64455.996,1
58,63382.598,,60987.004,1
59,68764.516,,69516,0
60,73533.03,,71196,0
61,71662.59,,70825,0
62,70799.54,,70304,0
63,70176.35,,70214,0
64,65312.242,,65344,0
65,63644.777,,59785.004,1
66,67636.63,,69678,0
67,72784.78,,72071,0
68,72692.6,,73539,0
69,72398.445,,74555,0
70,72441.79,,75644,1
71,68876.76,,68034,0
72,63652.363,,64572,1
73,72010.56,,72350,0
74,75082.53,,73759,0
75,73481.62,,72861,0
76,72650.83,,74250,0
77,72567.28,,77900,1
78,71674.695,,72069,0
79,69330.57,,66144,1
80,74126.4,,79664,1
81,80511.07,,78933,1
82,77452.39,,77168,0
83,74980.23,,78029,0
84,78333.375,,76065,0
85,71789.74,,71671,0
86,70222.39,,67188,1
87,75368.02,,77476,0
88,77977.34,,74806,0
89,75368.6,,74863,0
90,76709.08,,75909,0
91,74390.74,,80622,1
92,75452.84,,76417,0
93,74205.75,,78475,0
94,83475.086,,89812,1
95,86661.99,,78213,0
96,73046.664,,78125,0
97,79259.96,,88051,1
98,86047.16,,82639,0
99,74411.26,,69921,1
100,72474.03,,71667,0
101,80465.26,,87564,1
102,82668.15,,88043,1
103,82980.15,,85886,0
104,88762.28,,88895,1
105,84445.586,,79415,0
106,70584.914,,70477,1
107,75344.05,,70417,1
108,78183.91,,81184,0
109,83604.2,,89968,1
110,87533.49,,86684,0
111,85124.76,,78846,0
112,76735.3,,75158,0
113,71067.94,,66837,1
114,66679.75,,65281,1
115,73378.88,,76865,0
116,83504.414,,77843,0
117,78589.086,,77976,0
118,73107.75,,83408,0
119,82035.16,,86012,1
120,77443.945,,79628,0
121,77525.195,,75648,0
122,83223.37,,87434,1
123,87027.05,,87793,1
124,85052.85,,88785,1
125,87546.07,,92312,1
126,89286.67,,94404,1
127,87018.13,,88254,0
128,83349.65,,81528,0
129,88971.33,,90967,0
130,91460.74,,99197,1
131,96177.234,,94296,0
132,91855.49,,79806,0
133,81912.26,,80439,0
134,79327.62,,72934,1
135,67535.85,,67836,1
136,74298.516,,73116,0
137,82307.086,,78216,0
138,80050.9,,86580,0
139,80847.55,,86061,0
140,84360.15,,86933,0
141,80742.13,,77807,0
142,74116.66,,77758,0
143,82169.055,,84069,0
144,84979.9,,87429,0
145,88764.13,,87015,0
146,85994.64,,91617,1
147,89932.91,,92323,1
148,85178.914,,74596,1
149,71652.11,,65597,1
150,71766.35,,81713,0
151,84932.29,,81689,0
152,81691.914,,81745,0
153,85653.67,,84812,0
154,85351.164,,86185,0
155,76643.766,,79681,0
156,75506.18,,74388,1
157,83741.46,,90002,1
158,89957.37,,93688,1
159,91900.26,,89980,0
160,88098.71,,87702,0
161,86892.93,,88021,0
162,83240.914,,78366,0
163,74780.336,,68188,1
164,76066.24,,78796,0
165,83720.41,,78794,0
166,78727.14,,77790,0
167,79053.36,,81374,0
168,81772.04,,78457,0
169,72091.85,,74716,0
170,71142.29,,68633,1
171,75261.625,,69972,1
172,73307.805,,74615,0
173,76388.58,,73270,0
174,76107.61,,70881,0
175,70467.15,,75288,0
176,73724.53,,69927,0
177,65719.414,,66522,1
178,67546.21,,80030,0
179,82684.18,,84095,1
180,81408.08,,85638,1
181,84809.84,,82223,0
182,79448.2,,73950,0
183,68757.16,,67459,1
184,62983.805,,65988,1
185,72779.32,,76847,0
186,78434.375,,80875,0
187,81716.31,,77983,0
188,74529.72,,81325,0
189,77366.58,,73437,0
190,68853.06,,68137,1
191,68581.54,,64376,1
192,74644.65,,63490,1
193,68819.21,,69408,0
194,71945.37,,70439,0
195,72066.64,,71302,0
196,69997.42,,70422,0
197,68088.16,,65038.996,1
198,62764.695,,61006,1
199,64390.207,,71179,0
200,76115.21,,73620,0
201,72890.71,,73329,0
202,72863.484,,73871,0
203,72590.99,,70818,0
204,65944.336,,65635,0
205,62497.09,,60889,1
206,69270.77,,68712,0
207,71891.414,,72143,0
208,73459.48,,72058,0
209,71820.02,,71041,0
210,68686.09,,74009,0
211,68202.484,,66843,0
212,62224.79,,65008.004,0
213,70236.875,,71290,0
214,74184.7,,74153,0
215,73270.9,,77102,1
216,77718.1,,70147,0
217,70977.016,,72700,0
218,69857.01,,67616,0
219,65744.05,,62774,1
220,65121.496,,73988,0
221,74777.54,,77800,1
222,76917.3,,79242,1
223,76597.164,,82622,1
224,80054.72,,83972,1
225,76103.63,,70071,0
226,63204.754,,65059.996,1
227,74571.83,,75367,0
228,78591.61,,75170,0
229,77096.02,,77313,0
230,80642.516,,76267,0
231,75131.016,,77198,0
232,70293.92,,75416,0
233,72477.96,,66016,1
234,73059.836,,77526,0
235,78199.43,,75699,0
236,77793.51,,76488,0
237,76367.35,,94780,1
238,92544.83,,89697,1
239,79936,,79231,0
240,72689,,72161,0
241,80477.65,,80811,0
242,77915.39,,82841,0
243,81713.164,,84329,0
244,88697.14,,83027,0
245,81269.74,,79953,0
246,74956.02,,74197,0
247,72400.086,,68716,1
248,73547.85,,76076,0
249,79818.49,,79928,0
250,82410.73,,85672,1
251,84198.72,,84691,0
252,78932.42,,81940,0
253,76785.47,,77929,0
254,73778.766,,75842,0
255,76974.86,,87266,1
256,86567.016,,86333,0
257,86102.77,,87452,0
258,87135.86,,89345,1
259,84882.31,,92184,1
260,86476.516,,83602,0
261,78323.3,,75957,1
262,79791.11,,83277,0
263,84107.234,,84186,0
264,82649.664,,82357,0
265,84413.66,,81965,0
266,80179.99,,73428,1
267,71103.66,,75507,0
268,74458.695,,74369,1
269,82345.63,,86334,0
270,84997.82,,82737,0
271,83762.28,,81063,0
272,79633.2,,78190,0
273,73495.58,,71973,1
274,69720.47,,67855,1
275,71514.125,,62234.004,1
276,71402.75,,63592,1
277,66433.63,,65242.996,0
278,68216.195,,71644,0
279,74463.33,,81938,0
280,79787,,88836,1
281,84194.34,,85318,0
282,79606.664,,83725,0
283,83297.44,,81743,0
284,81714.11,,86621,0
285,82957.12,,88357,0
286,89151.555,,90131,1
287,90921.54,,90085,0
288,87131.13,,90338,0
289,85559.36,,88008,0
290,86540.53,,97278,1
291,94109.66,,94044,0
292,89495.586,,93059,0
293,90668.63,,93116,0
294,93889.04,,100374,1
295,92823.086,,86144,0
296,81675.39,,78853,1
297,84419.734,,94202,0
298,95499.59,,98512,1
299,90593.92,,97141,0
300,95011.375,,94748,0
301,93828.984,,90792,0
302,84561.31,,80079,1
303,73082.01,,74984,1
304,83307.65,,80987,0
305,83655.12,,88426,0
306,91530.79,,88985,0
307,85389.06,,92452,0
308,90193.1,,89458,0
309,81604.41,,80233,1
310,76223.97,,78212,1
311,83891.2,,85371,0
312,87004.48,,91063,0
313,91633.66,,90545,0
314,88875.43,,99064,1
315,94649.9,,94774,0
316,83912.11,,85296,0
317,83307.57,,80389,1
318,85531.805,,90150,0
319,87206.836,,91315,0
320,89530.68,,89563,0
321,90528.305,,87272,0
322,84917.32,,80947,1
323,73488.93,,78656,1
324,77844.305,,75104,1
325,81532.88,,82895,0
326,85712.38,,87893,0
327,89050.195,,89133,0
328,86844.17,,83349,0
