,elec_tra,elec_tes,elec,HAZURE
0,,,500766,0
1,,,491165.97,0
2,,,480517,0
3,,,485492.97,0
4,,,424093,1
5,,,479830,0
6,,,489355,0
7,,,505181,0
8,,,480316.97,0
9,,,485185.97,0
10,,,501470,0
11,,,529907,1
12,530870.5,,517978,0
13,559384.8,,569715,1
14,541086.4,,574615,1
15,553776.94,,556991,0
16,523064.75,,523368,0
17,549871.5,,597612,1
18,579190.44,,628451.94,1
19,593267.1,,545182,0
20,583116.5,,592628,0
21,549914.06,,562475,0
22,559963.1,,601626,0
23,549528.94,,551329,0
24,521695.8,,510544,0
25,526447.5,,543723,0
26,534725.8,,524427,0
27,507239.06,,480589,1
28,496073.2,,488466,1
29,490701.72,,481296,1
30,473476.6,,498552,0
31,492251.22,,516741.97,0
32,499787.9,,523220,0
33,521524.9,,543123,0
34,542319.1,,572097,1
35,536554.9,,549233,0
36,570903.6,,586107,1
37,552674.44,,583528,1
38,549186.7,,551628,0
39,497182.88,,484479,1
40,543508.8,,604731,1
41,606986.5,,645928,1
42,574570.94,,649974,1
43,567738.3,,596705,0
44,582734.7,,613946,0
45,578200,,618759,0
46,548020.06,,577977,0
47,541293.44,,582124,0
48,550081.06,,573135,0
49,529939.2,,577415,0
50,524171.1,,539502,0
51,519122.53,,567929,0
52,503959.44,,532968,0
53,505215.12,,511302,1
54,500783.84,,483943,1
55,472256.66,,483013,1
56,456092.34,,436126.03,1
57,454762.94,,456312,1
58,463751.2,,478879,0
59,484305.3,,497641,0
60,485049.16,,498188.97,0
61,486758,,487192,0
62,497450.6,,495087,0
63,495273.47,,507180,0
64,502991.44,,529270,0
65,525451.44,,570389,1
66,573047.25,,626456,1
67,607397.4,,624224,1
68,600401,,611965,1
69,582565.44,,576613,0
70,569817.7,,627252,1
71,566385.06,,488594,1
72,563411.2,,597526,0
73,591666.94,,613164,0
74,527238.2,,510138,0
75,521359.53,,554270,0
76,519198.84,,519234,0
77,505801.28,,512359.03,0
78,498936.25,,490011,0
79,507066.84,,496150.03,0
80,500195.1,,506831,0
81,495933.03,,505746,0
82,504012.3,,500393,0
83,515059.66,,491176,0
84,510208.94,,518546,0
85,525617.44,,568408,0
86,546474.5,,552199,0
87,550569.4,,580976,1
88,575288.1,,612415,1
89,605984.8,,631387,1
90,573254.4,,605621,0
91,556814.3,,513595.03,0
92,553378.3,,611117,0
93,577858.2,,641141.94,1
94,613071,,653572,1
95,627276.1,,690611,1
96,633999.8,,672151,1
97,584578.8,,621789,0
98,575936.56,,630428,0
99,551809.7,,608742,0
100,559670.5,,564984,0
101,542075.2,,544691,0
102,516408.16,,553814,0
103,506087.6,,500517,1
104,485982.28,,483303,1
105,487374,,492862,1
106,484416.6,,494780,0
107,486013.78,,487192,0
108,466536.22,,446876,1
109,446899.4,,458146,0
110,484986.1,,490754,0
111,484709.34,,493595,0
112,476608.22,,498391,0
113,501049.28,,510618,0
114,512598.22,,516650,0
