2022/5/23 5:40 UPDATE,,
,,
DATE,TIME,���(��kW)
2022/1/9,5:00,3102
2022/1/9,6:00,3325
2022/1/9,7:00,3593
2022/1/9,8:00,3741
2022/1/9,9:00,3687
2022/1/9,10:00,3530
2022/1/9,11:00,3376
2022/1/9,12:00,3262
2022/1/9,13:00,3181
2022/1/9,14:00,3195
2022/1/9,15:00,3235
2022/1/9,16:00,3438
2022/1/9,17:00,3771
2022/1/9,18:00,3863
2022/1/9,19:00,3838
2022/1/9,20:00,3738
2022/1/9,21:00,3607
2022/1/9,22:00,3377
2022/1/9,23:00,3174
2022/1/10,0:00,2929
2022/1/10,1:00,2806
2022/1/10,2:00,2758
2022/1/10,3:00,2740
2022/1/10,4:00,2758
2022/1/10,5:00,2847
2022/1/10,6:00,3080
2022/1/10,7:00,3424
2022/1/10,8:00,3799
2022/1/10,9:00,3926
2022/1/10,10:00,3883
2022/1/10,11:00,3809
2022/1/10,12:00,3721
2022/1/10,13:00,3671
2022/1/10,14:00,3629
2022/1/10,15:00,3683
2022/1/10,16:00,3868
2022/1/10,17:00,4130
2022/1/10,18:00,4163
2022/1/10,19:00,4074
2022/1/10,20:00,3965
2022/1/10,21:00,3773
2022/1/10,22:00,3502
2022/1/10,23:00,3243
2022/1/11,0:00,2977
2022/1/11,1:00,2850
2022/1/11,2:00,2813
2022/1/11,3:00,2809
2022/1/11,4:00,2868
2022/1/11,5:00,3093
2022/1/11,6:00,3555
2022/1/11,7:00,4039
2022/1/11,8:00,4541
2022/1/11,9:00,4850
2022/1/11,10:00,4780
2022/1/11,11:00,4739
2022/1/11,12:00,4635
2022/1/11,13:00,4767
2022/1/11,14:00,4716
2022/1/11,15:00,4664
2022/1/11,16:00,4764
2022/1/11,17:00,4746
2022/1/11,18:00,4641
2022/1/11,19:00,4472
2022/1/11,20:00,4298
2022/1/11,21:00,4052
2022/1/11,22:00,3781
2022/1/11,23:00,3511
2022/1/12,0:00,3212
2022/1/12,1:00,3064
2022/1/12,2:00,3018
2022/1/12,3:00,3011
2022/1/12,4:00,3076
2022/1/12,5:00,3309
2022/1/12,6:00,3803
2022/1/12,7:00,4214
2022/1/12,8:00,4476
2022/1/12,9:00,4540
2022/1/12,10:00,4408
2022/1/12,11:00,4323
2022/1/12,12:00,4143
2022/1/12,13:00,4192
2022/1/12,14:00,4200
2022/1/12,15:00,4293
2022/1/12,16:00,4529
2022/1/12,17:00,4746
2022/1/12,18:00,4762
2022/1/12,19:00,4665
2022/1/12,20:00,4539
2022/1/12,21:00,4317
2022/1/12,22:00,4037
2022/1/12,23:00,3762
2022/1/13,0:00,3446
2022/1/13,1:00,3281
2022/1/13,2:00,3211
2022/1/13,3:00,3165
2022/1/13,4:00,3189
2022/1/13,5:00,3410
2022/1/13,6:00,3923
2022/1/13,7:00,4404
2022/1/13,8:00,4744
2022/1/13,9:00,4713
2022/1/13,10:00,4529
2022/1/13,11:00,4395
2022/1/13,12:00,4227
2022/1/13,13:00,4261
2022/1/13,14:00,4247
2022/1/13,15:00,4304
2022/1/13,16:00,4489
2022/1/13,17:00,4679
2022/1/13,18:00,4692
2022/1/13,19:00,4607
2022/1/13,20:00,4498
2022/1/13,21:00,4287
2022/1/13,22:00,4013
2022/1/13,23:00,3728
2022/1/14,0:00,3418
2022/1/14,1:00,3266
2022/1/14,2:00,3212
2022/1/14,3:00,3180
2022/1/14,4:00,3224
2022/1/14,5:00,3469
2022/1/14,6:00,4014
2022/1/14,7:00,4452
2022/1/14,8:00,4715
2022/1/14,9:00,4736
2022/1/14,10:00,4598
2022/1/14,11:00,4481
2022/1/14,12:00,4287
2022/1/14,13:00,4327
2022/1/14,14:00,4307
2022/1/14,15:00,4376
2022/1/14,16:00,4606
