ダウンロードした時刻：2021/06/15 12:41:34

,東京,東京,東京
年月日,天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(昼：06時～18時)
,,品質情報,均質番号
2016/1/1,快晴,8,1
2016/1/2,晴時々薄曇,8,1
2016/1/3,晴後時々薄曇,8,1
2016/1/4,快晴,8,1
2016/1/5,晴後一時曇,8,1
2016/1/6,曇,8,1
2016/1/7,晴時々曇,8,1
2016/1/8,晴,8,1
2016/1/9,快晴,8,1
2016/1/10,快晴,8,1
2016/1/11,曇一時晴,8,1
2016/1/12,雨一時みぞれ後時々曇,8,1
2016/1/13,晴一時薄曇,8,1
2016/1/14,快晴,8,1
2016/1/15,晴一時曇,8,1
2016/1/16,快晴,8,1
2016/1/17,曇一時晴,8,1
2016/1/18,大雨後時々晴、みぞれを伴う,8,1
2016/1/19,快晴,8,1
2016/1/20,晴,8,1
2016/1/21,薄曇時々晴,8,1
2016/1/22,晴一時薄曇,8,1
2016/1/23,曇後時々雨,8,1
2016/1/24,快晴,8,1
2016/1/25,快晴,8,1
2016/1/26,晴,8,1
2016/1/27,晴,8,1
2016/1/28,快晴,8,1
2016/1/29,雨一時曇,8,1
2016/1/30,雨後曇、あられを伴う,8,1
2016/1/31,晴一時曇,8,1
2016/2/1,曇,8,1
2016/2/2,晴一時曇,8,1
2016/2/3,晴後時々曇,8,1
2016/2/4,晴時々曇,8,1
2016/2/5,晴一時薄曇,8,1
2016/2/6,曇,8,1
2016/2/7,晴,8,1
2016/2/8,曇後晴,8,1
2016/2/9,晴,8,1
2016/2/10,快晴,8,1
2016/2/11,快晴,8,1
2016/2/12,曇一時晴,8,1
2016/2/13,曇時々晴,8,1
2016/2/14,雨後晴,8,1
2016/2/15,曇後雨,8,1
2016/2/16,晴,8,1
2016/2/17,晴後時々曇,8,1
2016/2/18,晴時々曇,8,1
2016/2/19,晴,8,1
2016/2/20,曇後雨,8,1
2016/2/21,曇一時雨後時々晴,8,1
2016/2/22,曇後一時雨,8,1
2016/2/23,曇後一時晴,8,1
2016/2/24,曇,8,1
2016/2/25,曇後晴,8,1
2016/2/26,快晴,8,1
2016/2/27,晴,8,1
2016/2/28,晴後時々曇,8,1
2016/2/29,曇時々雨,8,1
2016/3/1,快晴,8,1
2016/3/2,晴,8,1
2016/3/3,快晴,8,1
2016/3/4,晴,8,1
2016/3/5,曇,8,1
2016/3/6,曇一時雨,8,1
2016/3/7,雨後時々曇,8,1
2016/3/8,晴一時曇,8,1
2016/3/9,雨一時曇,8,1
2016/3/10,曇,8,1
2016/3/11,雨後時々曇,8,1
2016/3/12,曇時々晴後一時雨,8,1
2016/3/13,曇,8,1
2016/3/14,雨,8,1
2016/3/15,快晴,8,1
2016/3/16,曇,8,1
2016/3/17,快晴,8,1
2016/3/18,晴後薄曇,8,1
2016/3/19,雨時々晴一時霧雨,8,1
2016/3/20,晴時々曇,8,1
2016/3/21,曇一時雨後晴,8,1
2016/3/22,晴一時曇,8,1
2016/3/23,曇時々晴,8,1
2016/3/24,曇時々雨一時晴,8,1
2016/3/25,晴一時曇,8,1
2016/3/26,曇後晴,8,1
2016/3/27,晴時々曇,8,1
2016/3/28,曇一時雨後一時晴,8,1
2016/3/29,晴後薄曇,8,1
2016/3/30,薄曇,8,1
2016/3/31,晴後薄曇,8,1
2016/4/1,曇,8,1
2016/4/2,曇一時雨,8,1
2016/4/3,雨後曇,8,1
2016/4/4,雨後曇,8,1
2016/4/5,曇一時雨,8,1
2016/4/6,薄曇一時晴,8,1
2016/4/7,大雨後一時曇,8,1
2016/4/8,曇一時晴,8,1
2016/4/9,薄曇,8,1
2016/4/10,薄曇,8,1
2016/4/11,曇後一時晴,8,1
2016/4/12,晴後一時薄曇,8,1
2016/4/13,雨時々曇,8,1
2016/4/14,雨後曇,8,1
2016/4/15,快晴,8,1
2016/4/16,曇,8,1
2016/4/17,曇時々雨一時晴,8,1
2016/4/18,晴後雨時々曇,8,1
2016/4/19,晴,8,1
2016/4/20,晴後薄曇,8,1
2016/4/21,曇時々雨,8,1
2016/4/22,晴後曇,8,1
2016/4/23,曇,8,1
2016/4/24,雨後曇,8,1
2016/4/25,薄曇一時晴,8,1
2016/4/26,晴一時薄曇,8,1
2016/4/27,曇,8,1
2016/4/28,雨後一時曇,8,1
2016/4/29,晴一時曇,8,1
2016/4/30,晴,8,1
2016/5/1,晴時々曇,8,1
2016/5/2,曇,8,1
2016/5/3,曇,8,1
2016/5/4,晴一時雨,8,1
2016/5/5,快晴,8,1
2016/5/6,曇後雨,8,1
2016/5/7,晴時々薄曇,8,1
2016/5/8,晴後薄曇,8,1
2016/5/9,曇後雨,8,1
2016/5/10,曇,8,1
2016/5/11,曇一時雨,8,1
2016/5/12,快晴,8,1
2016/5/13,晴,8,1
2016/5/14,薄曇時々晴,8,1
2016/5/15,薄曇後時々晴,8,1
2016/5/16,曇後一時晴,8,1
2016/5/17,大雨後一時曇,8,1
2016/5/18,晴,8,1
2016/5/19,晴後薄曇,8,1
2016/5/20,曇,8,1
2016/5/21,晴後時々曇,8,1
2016/5/22,快晴,8,1
2016/5/23,薄曇後時々晴,8,1
2016/5/24,薄曇一時晴,8,1
2016/5/25,曇,8,1
2016/5/26,曇時々晴,8,1
2016/5/27,雨時々曇,8,1
2016/5/28,曇,8,1
2016/5/29,晴後曇,8,1
2016/5/30,雨時々曇,8,1
2016/5/31,曇,8,1
2016/6/1,薄曇,8,1
2016/6/2,晴,8,1
2016/6/3,晴,8,1
2016/6/4,薄曇,8,1
2016/6/5,曇一時雨,8,1
2016/6/6,曇,8,1
2016/6/7,曇時々雨,8,1
2016/6/8,曇,8,1
2016/6/9,曇一時雨,8,1
2016/6/10,晴,8,1
2016/6/11,晴後薄曇,8,1
2016/6/12,曇,8,1
2016/6/13,大雨,8,1
2016/6/14,曇一時晴,8,1
2016/6/15,曇時々雨,8,1
2016/6/16,曇時々雨,8,1
2016/6/17,晴時々曇,8,1
2016/6/18,晴,8,1
2016/6/19,曇後一時雨,8,1
2016/6/20,薄曇,8,1
2016/6/21,雨時々曇一時晴,8,1
2016/6/22,曇一時雨,8,1
2016/6/23,雨後晴,8,1
2016/6/24,曇後時々雨,8,1
2016/6/25,曇一時雨,8,1
2016/6/26,薄曇一時晴,8,1
2016/6/27,晴一時薄曇,8,1
2016/6/28,雨時々曇,8,1
2016/6/29,曇後一時雨,8,1
2016/6/30,曇一時雨,8,1
2016/7/1,曇一時晴,8,1
2016/7/2,曇後時々晴,8,1
2016/7/3,曇一時晴,8,1
2016/7/4,晴後一時雨、雷を伴う,8,1
2016/7/5,曇一時雨,8,1
2016/7/6,曇一時晴,8,1
2016/7/7,晴,8,1
2016/7/8,曇,8,1
2016/7/9,雨後時々曇,8,1
2016/7/10,薄曇,8,1
2016/7/11,晴後一時薄曇,8,1
2016/7/12,晴時々曇,8,1
2016/7/13,雨時々曇,8,1
2016/7/14,曇時々晴後一時雨、雷を伴う,8,1
2016/7/15,雨時々曇,8,1
2016/7/16,曇,8,1
2016/7/17,曇一時雨,8,1
2016/7/18,晴時々曇,8,1
2016/7/19,晴一時曇,8,1
2016/7/20,曇後晴,8,1
2016/7/21,雨後一時曇,8,1
2016/7/22,雨後時々曇,8,1
2016/7/23,曇後一時晴,8,1
2016/7/24,晴一時曇,8,1
2016/7/25,曇,8,1
2016/7/26,曇時々雨,8,1
2016/7/27,曇後一時晴,8,1
2016/7/28,曇,8,1
2016/7/29,晴,8,1
2016/7/30,晴,8,1
2016/7/31,曇時々晴後一時雨,8,1
2016/8/1,曇時々晴一時雨、雷を伴う,8,1
2016/8/2,曇時々雨、雷を伴う,8,1
2016/8/3,曇一時晴,8,1
2016/8/4,晴,8,1
2016/8/5,晴,8,1
2016/8/6,晴,8,1
2016/8/7,晴,8,1
2016/8/8,曇一時晴,8,1
2016/8/9,晴時々薄曇,8,1
2016/8/10,曇時々晴,8,1
2016/8/11,曇後一時晴,8,1
2016/8/12,曇後晴,8,1
2016/8/13,晴時々曇,8,1
2016/8/14,曇,8,1
2016/8/15,曇後一時晴,8,1
2016/8/16,曇後時々雨,8,1
2016/8/17,晴,8,1
2016/8/18,曇後大雨、雷を伴う,8,1
