0,1
2017/1/1,0
2017/1/2,晴
2017/1/3,0
2017/1/4,0
2017/1/5,0
2017/1/6,晴
2017/1/7,0
2017/1/8,曇
2017/1/9,0.5
2017/1/10,0
2017/1/11,0
2017/1/12,0
2017/1/13,晴
2017/1/14,曇
2017/1/15,0
2017/1/16,0
2017/1/17,0
2017/1/18,晴
2017/1/19,曇
2017/1/20,曇
2017/1/21,0
2017/1/22,0
2017/1/23,晴
2017/1/24,0
2017/1/25,0
2017/1/26,0
2017/1/27,0.25
2017/1/28,0
2017/1/29,0.5
2017/1/30,0
2017/1/31,0
2017/2/1,0
2017/2/2,0
2017/2/3,0
2017/2/4,0
2017/2/5,曇
2017/2/6,晴
2017/2/7,晴
2017/2/8,晴
2017/2/9,みぞれ
2017/2/10,曇
2017/2/11,晴
2017/2/12,0
2017/2/13,0
2017/2/14,晴
2017/2/15,0
2017/2/16,0
2017/2/17,0
2017/2/18,0.5
2017/2/19,0
2017/2/20,晴
2017/2/21,0
2017/2/22,曇
2017/2/23,0.75
2017/2/24,曇
2017/2/25,晴
2017/2/26,0.25
2017/2/27,曇
2017/2/28,晴
2017/3/1,曇
2017/3/2,0.75
2017/3/3,晴
2017/3/4,薄曇
2017/3/5,0.25
2017/3/6,曇
2017/3/7,曇
2017/3/8,晴
2017/3/9,0
2017/3/10,0
2017/3/11,0
2017/3/12,薄曇
2017/3/13,0.5
2017/3/14,雨
2017/3/15,曇
2017/3/16,晴
2017/3/17,晴
2017/3/18,0.25
2017/3/19,晴
2017/3/20,0.25
2017/3/21,1.0
2017/3/22,0
2017/3/23,薄曇
2017/3/24,曇
2017/3/25,薄曇
2017/3/26,1.0
2017/3/27,雨
2017/3/28,晴
2017/3/29,0.25
2017/3/30,0.25
2017/3/31,曇
2017/4/1,雨
2017/4/2,薄曇
2017/4/3,晴
2017/4/4,0
2017/4/5,薄曇
2017/4/6,曇
2017/4/7,雨
2017/4/8,雨
2017/4/9,雨
2017/4/10,薄曇
2017/4/11,1.0
2017/4/12,薄曇
2017/4/13,晴
2017/4/14,0
2017/4/15,薄曇
2017/4/16,晴
2017/4/17,曇
2017/4/18,曇
2017/4/19,0
2017/4/20,0.25
2017/4/21,0.5
2017/4/22,曇
2017/4/23,0
2017/4/24,0.25
2017/4/25,晴
2017/4/26,0.5
2017/4/27,曇
2017/4/28,晴
2017/4/29,晴
2017/4/30,0
2017/5/1,晴
2017/5/2,0
2017/5/3,薄曇
2017/5/4,0.25
2017/5/5,0
2017/5/6,薄曇
2017/5/7,0.5
2017/5/8,晴
2017/5/9,薄曇
2017/5/10,雨
2017/5/11,晴
2017/5/12,薄曇
2017/5/13,1.0
2017/5/14,0.5
2017/5/15,曇
2017/5/16,薄曇
2017/5/17,0.5
2017/5/18,曇
2017/5/19,0
2017/5/20,0
2017/5/21,晴
2017/5/22,晴
2017/5/23,晴
2017/5/24,0.5
2017/5/25,0.75
2017/5/26,0.75
2017/5/27,曇
2017/5/28,晴
2017/5/29,晴
2017/5/30,晴
2017/5/31,薄曇
2017/6/1,曇
2017/6/2,0
2017/6/3,晴
2017/6/4,晴
2017/6/5,晴
2017/6/6,曇
2017/6/7,0.5
2017/6/8,曇
2017/6/9,曇
2017/6/10,薄曇
2017/6/11,0.5
2017/6/12,曇
2017/6/13,雨
2017/6/14,曇
2017/6/15,晴
2017/6/16,晴
2017/6/17,晴
2017/6/18,0.75
2017/6/19,晴
2017/6/20,薄曇
2017/6/21,1.0
2017/6/22,薄曇
2017/6/23,0
2017/6/24,薄曇
2017/6/25,雨
2017/6/26,曇
2017/6/27,0.5
2017/6/28,雨
2017/6/29,0.5
2017/6/30,雨
2017/7/1,雨
2017/7/2,0.5
2017/7/3,0.5
2017/7/4,0.5
2017/7/5,曇
2017/7/6,曇
2017/7/7,0
2017/7/8,0
2017/7/9,晴
2017/7/10,0
2017/7/11,晴
2017/7/12,0
2017/7/13,晴
2017/7/14,0
2017/7/15,晴
2017/7/16,薄曇
2017/7/17,薄曇
2017/7/18,曇
2017/7/19,晴
2017/7/20,0
2017/7/21,0
2017/7/22,薄曇
2017/7/23,曇
2017/7/24,0.5
2017/7/25,曇
2017/7/26,大雨
2017/7/27,0.5
2017/7/28,曇
2017/7/29,曇
2017/7/30,曇
2017/7/31,晴
2017/8/1,曇
2017/8/2,曇
2017/8/3,0.5
2017/8/4,0.5
2017/8/5,0.5
2017/8/6,0.25
2017/8/7,曇
2017/8/8,曇
2017/8/9,晴
2017/8/10,曇
2017/8/11,曇
2017/8/12,曇
2017/8/13,曇
2017/8/14,曇
2017/8/15,大雨
2017/8/16,1.0
2017/8/17,0.5
2017/8/18,0.5
2017/8/19,曇
2017/8/20,0.5
2017/8/21,曇
2017/8/22,0.5
2017/8/23,0.25
2017/8/24,曇
2017/8/25,0.5
2017/8/26,曇
2017/8/27,曇
2017/8/28,0.25
2017/8/29,曇
2017/8/30,曇
2017/8/31,雨
2017/9/1,曇
2017/9/2,雨
2017/9/3,晴
2017/9/4,曇
2017/9/5,0.5
2017/9/6,雨
2017/9/7,曇
2017/9/8,0.25
2017/9/9,晴
2017/9/10,晴
2017/9/11,0.5
2017/9/12,雨
2017/9/13,0.25
2017/9/14,曇
2017/9/15,薄曇
2017/9/16,曇
2017/9/17,1.0
2017/9/18,0
2017/9/19,薄曇
2017/9/20,0.5
2017/9/21,晴
2017/9/22,0.75
2017/9/23,曇
2017/9/24,曇
2017/9/25,晴
2017/9/26,晴
2017/9/27,0.5
2017/9/28,曇
2017/9/29,0
2017/9/30,曇
2017/10/1,0.25
2017/10/2,0.5
2017/10/3,曇
2017/10/4,曇
2017/10/5,曇
2017/10/6,0.75
2017/10/7,雨
2017/10/8,曇
2017/10/9,晴
2017/10/10,0
2017/10/11,曇
2017/10/12,晴
2017/10/13,1.0
2017/10/14,雨
2017/10/15,1.0
2017/10/16,1.0
2017/10/17,0.75
2017/10/18,0.25
2017/10/19,1.0
2017/10/20,雨
2017/10/21,1.0
2017/10/22,1.0
2017/10/23,曇
2017/10/24,0.5
2017/10/25,雨
2017/10/26,0
2017/10/27,0
2017/10/28,雨
2017/10/29,大雨
2017/10/30,0
2017/10/31,曇
2017/11/1,晴
2017/11/2,薄曇
2017/11/3,晴
2017/11/4,晴
2017/11/5,0
2017/11/6,0
2017/11/7,晴
2017/11/8,0.75
2017/11/9,0
2017/11/10,晴
2017/11/11,晴
2017/11/12,0
2017/11/13,曇
2017/11/14,0.75
2017/11/15,曇
2017/11/16,晴
2017/11/17,晴
2017/11/18,雨
2017/11/19,晴
2017/11/20,曇
2017/11/21,0
2017/11/22,曇
2017/11/23,0.5
2017/11/24,晴
2017/11/25,晴
2017/11/26,晴
2017/11/27,0.25
2017/11/28,0.5
2017/11/29,0
2017/11/30,曇
2017/12/1,曇
2017/12/2,0
2017/12/3,0
2017/12/4,曇
2017/12/5,0
2017/12/6,0
2017/12/7,0
2017/12/8,曇
2017/12/9,0
2017/12/10,晴
