0,1,2,3
2016/8/13,晴,8,1
2016/8/14,0.5,8,1
2016/8/15,曇,8,1
2016/8/16,曇,8,1
2016/8/17,0,8,1
2016/8/18,曇,8,1
2016/8/19,晴,8,1
2016/8/20,大雨,8,1
2016/8/21,薄曇,8,1
2016/8/22,1.0,8,1
2016/8/23,曇,8,1
2016/8/24,曇,8,1
2016/8/25,0,8,1
2016/8/26,0,8,1
2016/8/27,雨,8,1
2016/8/28,曇,8,1
2016/8/29,曇,8,1
2016/8/30,曇,8,1
2016/8/31,0,8,1
2016/9/1,晴,8,1
2016/9/2,晴,8,1
2016/9/3,晴,8,1
2016/9/4,曇,8,1
2016/9/5,晴,8,1
2016/9/6,晴,8,1
2016/9/7,曇,8,1
2016/9/8,曇,8,1
2016/9/9,晴,8,1
2016/9/10,曇,8,1
2016/9/11,曇,8,1
2016/9/12,0.5,8,1
2016/9/13,大雨,8,1
2016/9/14,曇,8,1
2016/9/15,曇,8,1
2016/9/16,曇,8,1
2016/9/17,晴,8,1
2016/9/18,曇,8,1
2016/9/19,雨,8,1
2016/9/20,1.0,8,1
2016/9/21,曇,8,1
2016/9/22,1.0,8,1
2016/9/23,雨,8,1
2016/9/24,0.75,8,1
2016/9/25,曇,8,1
2016/9/26,0.5,8,1
2016/9/27,曇,8,1
2016/9/28,曇,8,1
2016/9/29,曇,8,1
2016/9/30,0.5,8,1
2016/10/1,曇,8,1
2016/10/2,0,8,1
2016/10/3,雨,8,1
2016/10/4,薄曇,8,1
2016/10/5,曇,8,1
2016/10/6,薄曇,8,1
2016/10/7,晴,8,1
2016/10/8,曇,8,1
2016/10/9,0.75,8,1
2016/10/10,0.5,8,1
2016/10/11,0.5,8,1
2016/10/12,晴,8,1
2016/10/13,0.5,8,1
2016/10/14,薄曇,8,1
2016/10/15,0,8,1
2016/10/16,晴,8,1
2016/10/17,0.75,8,1
2016/10/18,晴,8,1
2016/10/19,曇,8,1
2016/10/20,0,8,1
2016/10/21,薄曇,8,1
2016/10/22,0.5,8,1
2016/10/23,曇,8,1
2016/10/24,0,8,1
2016/10/25,曇,8,1
2016/10/26,0,8,1
2016/10/27,晴,8,1
2016/10/28,0.75,8,1
2016/10/29,0.5,8,1
2016/10/30,0.5,8,1
2016/10/31,曇,8,1
2016/11/1,雨,8,1
2016/11/2,曇,8,1
