,0,1,2,3
0,2017/1/1,0,8,1
1,2017/1/2,晴一時曇,8,1
2,2017/1/3,0,8,1
3,2017/1/4,0,8,1
4,2017/1/5,0,8,1
5,2017/1/6,晴一時薄曇,8,1
6,2017/1/7,0,8,1
7,2017/1/8,曇時々雨,8,1
8,2017/1/9,雨後晴,8,1
9,2017/1/10,0,8,1
10,2017/1/11,0,8,1
11,2017/1/12,0,8,1
12,2017/1/13,晴後一時曇,8,1
13,2017/1/14,曇時々晴後一時雪,8,1
14,2017/1/15,0,8,1
15,2017/1/16,0,8,1
16,2017/1/17,0,8,1
17,2017/1/18,晴後時々薄曇,8,1
18,2017/1/19,曇時々晴,8,1
19,2017/1/20,曇時々みぞれ一時雨,8,1
20,2017/1/21,0,8,1
21,2017/1/22,0,8,1
22,2017/1/23,晴一時曇,8,1
23,2017/1/24,0,8,1
24,2017/1/25,0,8,1
25,2017/1/26,0,8,1
26,2017/1/27,曇後晴,8,1
27,2017/1/28,0,8,1
28,2017/1/29,曇後一時晴,8,1
29,2017/1/30,0,8,1
30,2017/1/31,0,8,1
31,2017/2/1,晴時々曇,8,1
32,2017/2/2,0,8,1
33,2017/2/3,0,8,1
34,2017/2/4,0,8,1
35,2017/2/5,曇時々雨一時晴,8,1
36,2017/2/6,晴時々曇,8,1
37,2017/2/7,晴後一時薄曇,8,1
38,2017/2/8,晴後時々薄曇,8,1
39,2017/2/9,みぞれ時々雨,8,1
40,2017/2/10,曇時々晴一時雪,8,1
41,2017/2/11,晴後時々曇,8,1
42,2017/2/12,0,8,1
43,2017/2/13,0,8,1
44,2017/2/14,晴後一時曇,8,1
45,2017/2/15,0,8,1
46,2017/2/16,0,8,1
47,2017/2/17,0,8,1
48,2017/2/18,0.5,8,1
49,2017/2/19,0,8,1
50,2017/2/20,晴後雨一時曇,8,1
51,2017/2/21,0,8,1
52,2017/2/22,曇一時晴,8,1
53,2017/2/23,雨後曇,8,1
54,2017/2/24,曇時々晴,8,1
55,2017/2/25,晴一時曇,8,1
56,2017/2/26,晴後薄曇,8,1
57,2017/2/27,曇後時々晴,8,1
58,2017/2/28,晴一時曇,8,1
59,2017/3/1,曇一時晴,8,1
60,2017/3/2,曇後雨,8,1
61,2017/3/3,晴後一時曇,8,1
62,2017/3/4,薄曇時々晴,8,1
63,2017/3/5,晴後薄曇,8,1
64,2017/3/6,曇時々雨,8,1
65,2017/3/7,曇時々晴一時雨,8,1
66,2017/3/8,晴一時曇,8,1
67,2017/3/9,0,8,1
68,2017/3/10,0,8,1
69,2017/3/11,0,8,1
70,2017/3/12,薄曇後一時晴,8,1
71,2017/3/13,0.5,8,1
72,2017/3/14,雨時々曇,8,1
73,2017/3/15,曇時々雨,8,1
74,2017/3/16,晴後一時曇,8,1
75,2017/3/17,晴後時々曇,8,1
76,2017/3/18,晴後薄曇,8,1
77,2017/3/19,晴後一時曇,8,1
78,2017/3/20,晴後薄曇,8,1
79,2017/3/21,1.0,8,1
80,2017/3/22,0,8,1
81,2017/3/23,薄曇,8,1
82,2017/3/24,曇時々晴,8,1
83,2017/3/25,薄曇時々晴,8,1
84,2017/3/26,1.0,8,1
85,2017/3/27,雨後曇一時晴,8,1
86,2017/3/28,晴後時々曇一時雨,8,1
87,2017/3/29,薄曇後晴,8,1
88,2017/3/30,晴後薄曇,8,1
89,2017/3/31,曇後時々雨,8,1
90,2017/4/1,雨後一時曇,8,1
91,2017/4/2,薄曇時々晴,8,1
92,2017/4/3,晴一時曇後一時雨、雷を伴う,8,1
93,2017/4/4,0,8,1
94,2017/4/5,薄曇,8,1
95,2017/4/6,曇一時晴,8,1
96,2017/4/7,雨時々曇後晴,8,1
97,2017/4/8,雨時々曇一時霧雨,8,1
98,2017/4/9,雨時々曇,8,1
99,2017/4/10,薄曇,8,1
100,2017/4/11,1.0,8,1
101,2017/4/12,薄曇時々晴,8,1
102,2017/4/13,晴後一時曇,8,1
103,2017/4/14,0,8,1
104,2017/4/15,薄曇時々晴一時雨,8,1
105,2017/4/16,晴後時々薄曇,8,1
106,2017/4/17,曇後一時雨,8,1
107,2017/4/18,曇一時雨,8,1
108,2017/4/19,0,8,1
109,2017/4/20,晴後薄曇,8,1
110,2017/4/21,0.5,8,1
111,2017/4/22,曇後一時雨,8,1
112,2017/4/23,0,8,1
113,2017/4/24,曇後晴,8,1
114,2017/4/25,晴一時曇,8,1
115,2017/4/26,0.5,8,1
116,2017/4/27,曇一時雨,8,1
117,2017/4/28,晴一時曇,8,1
118,2017/4/29,晴時々曇,8,1
119,2017/4/30,0,8,1
