,0
0,0.7387377
1,0.64710045
2,0.7614732
3,0.7736515
4,0.58871436
5,0.49421638
6,0.6332736
7,0.8169644
8,0.8408835
9,0.5273392
10,0.5425527
11,0.5823901
12,0.49379453
13,0.60155964
14,0.62483466
15,0.4753176
16,0.67025703
17,0.8656552
18,0.69111174
19,0.5083871
20,0.6530246
21,0.7096195
22,0.52747655
23,0.78214824
24,0.5280967
25,0.4423676
26,0.46923727
27,0.53388286
28,0.49681664
29,0.6186202
30,0.5740886
31,0.5988272
32,0.4629649
33,0.39566725
34,0.38722366
35,0.45158198
36,0.5569484
37,0.61509657
38,0.5860621
39,0.5590565
40,0.37744826
41,0.3620581
42,0.6920055
43,0.42234516
44,0.6371428
45,0.5681224
46,0.421328
47,0.45516533
48,0.57797474
49,0.4092294
50,0.5003574
51,0.36667717
52,0.470384
53,0.39301747
54,0.540884
55,0.38271973
56,0.5910478
57,0.4976856
58,0.44517928
59,0.44833773
60,0.29105887
61,0.22016892
62,0.31903443
63,0.47315755
64,0.41491652
65,0.4552679
66,0.37328163
67,0.33782583
68,0.21105045
69,0.6138628
70,0.5187421
71,0.46031561
72,0.50629985
73,0.35039
74,0.37153342
75,0.32777682
76,0.31392777
77,0.39007685
78,0.38032055
79,0.35369718
80,0.36425853
81,0.2753927
82,0.2616394
83,0.3283021
84,0.53452194
85,0.28746343
86,0.38789076
87,0.37774098
88,0.23259085
89,0.31392077
90,0.2803367
91,0.3777399
92,0.2214576
93,0.35935175
94,0.33559012
95,0.22341691
96,0.14860854
97,0.25402954
98,0.23203556
99,0.22368827
100,0.18342611
101,0.22175738
102,0.069197774
103,0.0719548
104,0.1509727
105,0.0389688
106,0.028762043
107,0.121112704
108,0.13093436
109,0.11295473
110,0.0742652
111,0.0872293
112,0.25070667
113,0.19510007
114,0.26602018
115,0.21674815
116,0.17666316
117,0.11796871
118,0.18735373
119,0.25136152
120,0.22443104
121,0.25635558
122,0.30781808
123,0.15286575
124,0.12134507
125,0.17488575
126,0.24693759
127,0.24180041
128,0.30645657
129,0.22992778
130,0.17648122
131,0.13401687
132,0.18343747
133,0.30163813
134,0.2802549
135,0.35358787
136,0.36199543
137,0.3186028
138,0.20184785
139,0.2391357
140,0.38403565
141,0.39407265
142,0.46585536
143,0.51457036
144,0.39671147
145,0.19281729
146,0.342066
147,0.5476595
148,0.3815116
149,0.46666747
150,0.41791067
151,0.16772598
152,0.2550236
153,0.3505213
154,0.30530763
155,0.32282478
156,0.38090318
157,0.33425432
158,0.38791284
159,0.28846568
160,0.2911934
161,0.4491661
162,0.37430203
163,0.47551742
164,0.56222624
165,0.32701135
166,0.2556161
167,0.3924871
168,0.48360163
169,0.5434611
170,0.5251839
171,0.45772922
172,0.41737843
173,0.40318772
174,0.46725476
175,0.4088994
176,0.39969724
177,0.39381254
178,0.40517044
179,0.3341942
180,0.23388922
181,0.33447826
182,0.59755766
183,0.4300425
184,0.59436035
185,0.3142725
186,0.28529036
187,0.38923556
188,0.4250703
189,0.55435276
190,0.5590646
191,0.3206248
192,0.4643843
193,0.4691779
194,0.33935234
195,0.4765094
196,0.62784326
197,0.5701337
198,0.75867045
199,0.75345063
200,0.63763326
201,0.46277273
202,0.6391281
203,0.6452054
204,0.7672473
205,0.7171806
206,0.6888
207,0.5550387
208,0.6814642
209,0.7104664
210,0.94927835
211,0.7645389
212,0.7876239
213,0.87243724
214,0.84296024
215,0.61933637
216,0.5505369
217,0.7514658
218,0.666394
219,0.8579823
220,0.89131665
221,0.72965145
222,0.634872
223,0.77592695
224,0.70590913
225,0.54931283
226,0.7983216
227,0.79468775
228,0.7596606
229,0.62733483
230,0.505249
231,0.69344103
232,0.8032447
233,0.8098587
234,0.74477196
235,0.66924846
236,0.33460397
237,0.53237617
238,0.56559837
239,0.4545316
240,0.5428541
241,0.6287459
242,0.5419677
243,0.3384429
244,0.37447357
245,0.28451553
246,0.25587973
247,0.48202634
248,0.4361201
249,0.22849047
250,0.19250031
251,0.22871892
252,0.36515224
253,0.29672205
254,0.30607
255,0.33854955
256,0.25011218
257,0.20428042
258,0.268613
259,0.33752984
260,0.28009316
261,0.36547482
262,0.3570706
263,0.27669358
264,0.24324135
265,0.25633478
266,0.33177793
267,0.3217333
268,0.34538293
269,0.37176266
270,0.23364279
271,0.2545562
272,0.2683247
273,0.41282314
274,0.28624433
275,0.3496015
276,0.36447716
277,0.30885565
278,0.16031516
279,0.29417628
280,0.31481907
281,0.29010382
282,0.38075
283,0.34283826
284,0.2439541
285,0.21983217
286,0.28758997
287,0.34003496
288,0.24084881
289,0.39369363
290,0.37393382
291,0.32870767
292,0.26569337
293,0.2516496
294,0.35617483
295,0.4040552
296,0.45422333
297,0.5159871
298,0.29610997
299,0.24439049
300,0.340603
301,0.39085466
302,0.3716495
303,0.43438178
304,0.33141434
305,0.28460595
306,0.22169225
307,0.29971337
308,0.24585792
309,0.43080157
310,0.45321366
311,0.39935404
312,0.40575224
313,0.2656159
314,0.3563287
315,0.5781582
316,0.46207967
317,0.59057176
318,0.59565794
319,0.47703803
320,0.535491
321,0.45834327
322,0.59342295
323,0.5493566
324,0.60673726
325,0.62259376
326,0.55475324
327,0.39678928
328,0.4894606
329,0.6458601
330,0.6727092
331,0.7674717
332,0.78242207
333,0.63245296
334,0.60183746
335,0.6968303
336,0.77863646
337,0.73332477
338,0.7402897
339,0.71350735
340,0.5502324
341,0.5651814
342,0.56346476
343,0.53391206
344,0.44714642
345,0.46263605
